rank,product_name,sku,revenue_gbp,units,orders
1,"Vegware PLA Bella Pot, 96-Series - 16oz",VEG-DEL-16,468.81,3,2
2,Vegware Feel Good Double Wall Hot Cup - 8oz,VEG-CUP-DW-8,383.78,10,3
3,Black Bio Fibre Straws - 6 x 200mm,BB-FBRBL-20,335.72,4,4
4,"Vegware PLA Cold Cup, 96 Series - 9oz",VEG-CC-9-7,230.51,5,4
5,Vegware Feel Good Double Wall Hot Cup - 12oz,VEG-CUP-DW-12,187.88,4,4
6,24 x 24cm Black Paper Cocktail Napkins,PCNBL,172.74,6,1
7,"Vegware PLA Dome Lid, STRAW SLOT (Fits 96 Series) - 80 x 80 x 32mm",VEG-CC-DL,164.85,3,2
8,2oz Paper Portion Pot Lid,POT-2,138.03,3,2
9,Kraft Salad Bowl Lid - 500ml / 1000ml,CNT-500-KR,135.66,3,2
10,6 x 200mm Black Paper Straws,BPS20,127.20,3,2
11,2oz Kraft Portion Pot,POT-2-KR,125.53,2,2
12,Vegware Paper Therma Bag,VEG-BAG-3,122.40,2,1
13,1000ml Kraft Rectangular Kraft Bowls,10MLREC,120.52,3,2
14,"Vegware 10oz PLA Bella Pot, 96-Series",VEG-DEL-10,119.65,1,1
15,"Vegware PLA Cold Cup, 96 Series - 16oz",VEG-CC-16-4,119.20,8,5
16,Paper Leakproof Pots with Lids,FNC-7,115.20,6,1
17,8oz / 227ml White Paper Single Wall Coffee Cups,8WSW,108.15,3,1
18,Vegware Kraft Tortilla / Wrap Carton - 50 x 95 x 135mm,VEG-SAN-TR-KR,80.99,1,1
19,Vegware White Fibre Hot Cup Lid - 90mm / 16oz,VEG-LID-16-WH-2,74.66,2,2
20,8oz / 227ml Black PP Coffee Cup Sip Lids,PLPC80B,73.20,3,1
21,6 x 150mm Black Bio Fibre Straws,BB-FBRBL-15,69.56,1,1
22,Honeycomb Foil Backed Deli Wrap Sheets (Food Safe & Insulating) - 267 x 350mm,GP-350,69.48,3,2
23,250mm / 350mm Paper Steak House Printed Greaseproof Sheets,GP-250,68.01,3,1
24,"Vegware PLA Cold Cup, 76 Series - 5oz",VEG-CC-5-2,66.40,10,5
25,Clear rPET Smoothie Cups - 16oz / 455ml,16RPTRC,57.55,1,1
26,Clear rPET Smoothie Cups - 12oz / 340ml,12RPTRC,56.90,1,1
27,Palm Leaf Square Plate - 9 inch,PLF-SQ-5,56.88,2,1
28,"Vegware Double Wall Hot Takeaway Cup, 89 Series Green Tree - 12oz",VEG-CUP-DW-12-GN-2,56.66,1,1
29,Vegware Black Double Wall Takeaway Cup - 12oz,VEG-CUP-DW-12-BK,54.09,1,1
30,Vegware Unbleached Greaseproof Sheet,VEG-GP-275,53.30,2,1
31,Palm Leaf Round Plate - 8 inch,PLF-RD-7,50.88,2,1
32,Planetware Double Wall Takeaway Cup - 6oz,CUP-DW-6,50.65,1,1
33,40cm Brown Kraft Large SOS Grab Bag,BAG-GR-KR,50.58,2,1
34,4oz / 114ml Black Paper Ripple Wall Coffee Cups,4BRDW,50.41,1,1
35,44oz Two Pint to Line Cup,CC-PN,49.27,1,1
36,Vegware White Greaseproof Sheet Grill - 400 x 300mm,VEG-GP-300-WH-2,48.20,1,1
37,"Vegware 5oz PLA Cold Cup, 76 Series Green Tree",VEG-CC-5-GN,45.92,7,2
38,"Vegware Single Wall Feel Good Takeaway Hot Cup, 62 Series - 4oz",VEG-CUP-SW-4,45.16,1,1
39,"Vegware PLA Flat Lid, NO HOLE (Fits 96 Series)",VEG-DEL-FL,44.76,1,1
40,Kraft Lid for Paperboard Food Trays,CNT-TY-KR,43.58,2,1
41,"Cornstarch Cutlery Kit, 3 in 1",CTL-9,43.38,1,1
42,Vegware Kraft Flat Bag - 254 x 254mm,VEG-BAG-KR-5,43.32,3,3
43,Kraft Food Tray PE-Lined - 1000 ml,CNT-1000-KR,41.31,1,1
44,Kraft Sandwich Card - 127 x 127mm,SAN-SW-KR,40.60,2,1
45,6 x 150mm Black Paper Straws,BPS15,40.11,1,1
46,16oz Kraft Soup Container Lids,16LIDSOUPCK,38.96,1,1
47,16oz / 453ml Kraft Soup Containers,16SOUPCK,38.51,1,1
48,Black PP Coffee Cup Sip Lids - 4oz / 118ml,PLPC62B,38.44,2,2
49,6mm x 140mm Black Paper Cocktail Straw,STR-CK-6-BK,36.80,1,1
50,4-Cup Pulp Fibre Cup Carriers,RCC4C,36.24,2,1
51,"Vegware PLA Cold Cup, 96 Series - 12oz",VEG-CC-12-5,36.21,3,2
