keyword,best_position,best_position_url,volume,keyword_difficulty
"vegware",20,https://afida.com/vegware,1800,0
"takeaway packaging",21,https://afida.com/blog/takeaway-boxes,800,31
"ice cream cups",31,https://afida.com/categories/cups-and-accessories/ice-cream-cups,700,0
"biodegradable packaging",19,https://afida.com/blog/eco-friendly-packaging,500,17
"catering business",1,https://afida.com/blog/how-to-start-a-catering-business,300,1
"sustainable food packaging",1,https://afida.com/blog/sustainable-food-packaging,250,28
"food brand packaging",1,https://afida.com/blog/food-packaging-branding,250,0
"500 sheets of paper",1,https://afida.com/categories/bags-and-wraps/greaseproof-and-wraps,200,0
"paper ice cream cups",11,https://afida.com/categories/cups-and-accessories/ice-cream-cups,200,0
"ice cream paper cups",12,https://afida.com/categories/cups-and-accessories/ice-cream-cups,150,0
"biodegradable takeaway containers",9,https://afida.com/blog/eco-friendly-takeaway-containers,150,2
"biodegradable food containers",14,https://afida.com/blog/eco-friendly-takeaway-containers,150,0
"food branding companies",1,https://afida.com/blog/design-of-food-packaging,150,44
"ice cream cups with lids",8,https://afida.com/categories/cups-and-drinks/ice-cream-cups,150,0
"takeaway soup containers",7,https://afida.com/blog/soup-containers,90,0
"eco friendly food containers",13,https://afida.com/blog/eco-friendly-takeaway-containers,70,1
"how to recycle properly",1,https://afida.com/blog/can-you-recycle-pizza-boxes,70,52
"recyclable food packaging",1,https://afida.com/blog/sustainable-food-packaging,50,7
"eco friendly takeaway containers",5,https://afida.com/blog/eco-friendly-takeaway-containers,50,4
"sustainable takeaway packaging",9,https://afida.com/blog/eco-friendly-takeaway-containers,50,26
"school ice cream cups",8,https://afida.com/categories/cups-and-accessories/ice-cream-cups,40,0
"sustainable packaging for food",9,https://afida.com/blog/sustainable-food-packaging,30,15
"food in green packaging",10,https://afida.com/blog/sustainable-food-packaging,30,9
"25ml plastic shot glasses",8,https://afida.com/products/shot-glasses,30,0
"eco food containers",13,https://afida.com/blog/eco-friendly-takeaway-containers,20,1
"recyclable takeaway containers",11,https://afida.com/blog/eco-friendly-takeaway-containers,20,3
"cost of opening a cafe",10,https://afida.com/blog/startup-costs-for-coffee-shop,20,1
"coffee shop startup costs",7,https://afida.com/blog/startup-costs-for-coffee-shop,10,3
"cost of opening a coffee shop",10,https://afida.com/blog/startup-costs-for-coffee-shop,10,1
"coffee shop start up cost",7,https://afida.com/blog/startup-costs-for-coffee-shop,10,4
"start up costs for a coffee shop",6,https://afida.com/blog/startup-costs-for-coffee-shop,10,5
