keyword,volume,keyword_difficulty,n_competitors_ranking,best_competitor,best_competitor_position,best_competitor_url
cling film,6500,11,1,cupsdirect.co.uk,18,https://cupsdirect.co.uk/products/cling-film-range
cake boxes,5700,2,1,cater4you.co.uk,14,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-boxes/
paper plates,5300,0,1,cater4you.co.uk,16,https://cater4you.co.uk/product-category/tableware/paper-plates/
plastic cups,4600,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/disposable-plastic-cups
plastic wine glasses,4300,0,2,cater4you.co.uk,4,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-wine-glasses/
plastic straws,3900,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/collections/drinking-straws
food boxes,3500,0,2,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/food-carriers
plastic glasses,3400,0,2,cater4you.co.uk,10,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/
plastic champagne flutes,3000,0,2,eventsupplies.co.uk,8,https://eventsupplies.co.uk/collections/plastic-champagne-flutes
burger box,3000,0,2,cater4you.co.uk,8,https://cater4you.co.uk/product-category/food-packaging/burger-boxes/
disposable plates,2800,0,1,enviropack.org.uk,4,https://www.enviropack.org.uk/tableware/plates
paper bags,2800,1,1,cater4you.co.uk,13,https://cater4you.co.uk/product-category/bags/
greaseproof paper,2600,0,1,takeawaypackaging.co.uk,13,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/
paper cups,2600,9,1,cupsdirect.co.uk,14,https://cupsdirect.co.uk/
food packaging,2500,34,4,enviropack.org.uk,3,https://www.enviropack.org.uk/
straws,2500,0,1,eventsupplies.co.uk,8,https://eventsupplies.co.uk/collections/drinking-straws
plastic containers,2500,7,1,cater4you.co.uk,4,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/
margarita glasses,2400,0,1,cater4you.co.uk,20,https://cater4you.co.uk/product/premium-plastic-margarita-glasses-320ml/
9 inch pizza,2300,0,1,enviropack.org.uk,6,https://ubereats.enviropack.org.uk/takeaway-pizza-boxes-9-kraft
foil trays,2200,0,2,cupsdirect.co.uk,3,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range
500ml,2100,0,1,cater4you.co.uk,8,https://cater4you.co.uk/product/500ml-round-plastic-rpet-juice-bottle-with-tamper-evident-cap/
kitchen foil,2000,0,1,cater4you.co.uk,15,https://cater4you.co.uk/product/bakewell-kitchen-quality-aluminium-foil-45cm-x-75m/
pizza boxes,1900,0,1,takeawaypackaging.co.uk,15,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/pizza-boxes/
plastic shot glasses,1900,0,2,cater4you.co.uk,10,https://cater4you.co.uk/product/mg5cl-5cl-50ml-disposable-plastic-tasting-shot-glasses/
plastic bottles,1900,12,1,cater4you.co.uk,16,https://cater4you.co.uk/product-category/food-packaging/plastic-juice-bottles/
paper bag,1800,36,1,takeawaypackaging.co.uk,5,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/paper-bags/
paper napkins,1800,0,1,eventsupplies.co.uk,16,https://eventsupplies.co.uk/collections/paper-napkins
plastic cutlery,1800,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/cutlery
plastic container,1800,18,1,cater4you.co.uk,8,https://cater4you.co.uk/product/2-compartment-750cc-clear-rectangular-plastic-container-and-lid/
uk packaging,1700,55,1,enviropack.org.uk,19,https://www.enviropack.org.uk/
food containers with lids,1700,4,1,cater4you.co.uk,11,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/
ice cream tubs,1600,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/product-category/ice-cream-tubs-lids/
serviettes,1600,0,1,cater4you.co.uk,17,https://cater4you.co.uk/product-category/tableware/paper-napkins/
plastic containers with lids,1600,3,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/
cake boxes near me,1600,1,1,cater4you.co.uk,18,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-boxes/
cake slice,1600,0,1,cater4you.co.uk,18,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-slice-boxes/
plastic cocktail glasses,1500,0,2,cater4you.co.uk,3,https://cater4you.co.uk/product/unbreakable-plastic-cocktail-glasses/
port glass,1500,0,1,cater4you.co.uk,19,https://cater4you.co.uk/Shop
aluminium foil,1500,3,1,cater4you.co.uk,14,https://cater4you.co.uk/product-category/catering-disposables/aluminium-foil/
plastic prosecco glasses,1500,0,1,cater4you.co.uk,11,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-prosecco-champagne-flutes/
brown paper bags,1500,0,1,cater4you.co.uk,6,https://cater4you.co.uk/product/small-brown-handles-paper-bags/
disposable coffee cups,1400,1,3,cupsdirect.co.uk,4,https://cupsdirect.co.uk/
disposable cups,1400,2,2,cupsdirect.co.uk,8,https://cupsdirect.co.uk/
coffee cups with lids,1400,0,2,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
dessert cups,1400,0,2,cater4you.co.uk,5,https://cater4you.co.uk/product-category/food-packaging/dessert-cups-pots-lids/
bento boxes,1400,12,1,cater4you.co.uk,20,https://cater4you.co.uk/Food
plastic tumblers,1300,0,1,cupsdirect.co.uk,18,https://cupsdirect.co.uk/collections/reusable-plastic-glasses
food storage containers with lids,1300,4,1,cater4you.co.uk,16,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/
plastic food containers,1300,6,1,cater4you.co.uk,2,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/
paper straws,1200,0,1,takeawaypackaging.co.uk,17,https://takeawaypackaging.co.uk/online-shop/cup-accessories/biodegradable-straws-paper-straws/
food box,1200,0,1,takeawaypackaging.co.uk,12,https://takeawaypackaging.co.uk/food-carriers
plastic cup,1200,0,2,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/disposable-plastic-cups
clingfilm,1200,4,1,cupsdirect.co.uk,14,https://cupsdirect.co.uk/products/cling-film-range
food tray,1200,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/catering-packaging/food-trays
eco friendly packaging,1200,11,1,enviropack.org.uk,10,https://www.enviropack.org.uk/
500ml bottle,1200,0,1,cater4you.co.uk,16,https://cater4you.co.uk/product/500ml-round-plastic-rpet-juice-bottle-with-tamper-evident-cap/
takeaway coffee cups,1100,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
burger boxes,1100,0,4,enviropack.org.uk,2,https://www.enviropack.org.uk/hot-food-containers/burger-boxes
plastic pint glasses,1100,0,3,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers
sandwich bags,1100,0,1,enviropack.org.uk,14,https://www.enviropack.org.uk/sandwich-bread/sandwich-bags-boxes
plastic champagne glasses,1100,0,2,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/plastic-champagne-flutes
disposable cutlery,1100,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/collections/cutlery
coupe glasses,1100,3,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/products/150ml-champagne-saucer-coupe
cater,1100,54,1,cater4you.co.uk,12,https://cater4you.co.uk/
plastic cups with lids,1000,0,1,takeawaypackaging.co.uk,20,https://takeawaypackaging.co.uk/online-shop/cups/recyclable-clear-cups-lids/
paper cup,1000,11,2,cupsdirect.co.uk,10,https://cupsdirect.co.uk/products/white-paper-cup
soup container,1000,0,3,cupsdirect.co.uk,9,https://cupsdirect.co.uk/
sandwich box,1000,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/sandwich-bread/sandwich-bags-boxes
packaging environmental,1000,11,1,enviropack.org.uk,5,https://www.enviropack.org.uk/
wooden spoons,1000,1,1,cater4you.co.uk,6,https://cater4you.co.uk/product/wooden-spoons/
cake slice boxes,1000,0,1,cater4you.co.uk,12,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-slice-boxes/
takeaway containers,900,0,3,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/
takeaway boxes,900,2,4,takeawaypackaging.co.uk,8,https://takeawaypackaging.co.uk/
paper bowls,900,0,3,enviropack.org.uk,2,https://www.enviropack.org.uk/hot-food-containers/paperboard-food-bowls
foil paper,900,0,1,enviropack.org.uk,18,https://www.enviropack.org.uk/350x400mm-foil-insulated-dele-wrap-sheets-3
wooden cutlery,900,0,2,cater4you.co.uk,5,https://cater4you.co.uk/product/3-in-1-wooden-cutlery-set/
red cups,900,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups
12oz,900,0,1,eventsupplies.co.uk,9,https://eventsupplies.co.uk/products/12oz-white-paper-cups
16oz,900,0,2,greenpak.supplies,4,https://greenpak.supplies/product/16oz-clear-pet-smoothie-cup/
plastic food containers with lids,900,3,1,cater4you.co.uk,2,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/
flan dish,900,0,1,cater4you.co.uk,19,https://cater4you.co.uk/product/165mm-round-foil-flan-dish-rolled-edge/
plastic bowls,900,0,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/tableware/plastic-bowls/
serviette,900,0,1,cater4you.co.uk,9,https://cater4you.co.uk/product-category/tableware/paper-napkins/
paper bags with handles,800,1,1,takeawaypackaging.co.uk,4,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/twisted-handle-paper-bags/
foil tray,800,0,1,cupsdirect.co.uk,3,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range
dessert box,800,0,2,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/bakery-dessert-packaging
food trays,800,0,2,cupsdirect.co.uk,2,https://cupsdirect.co.uk/collections/food-packaging/catering-trays-&-scoops
paper tablecloths,800,0,1,eventsupplies.co.uk,18,https://eventsupplies.co.uk/collections/paper-tablecovers
plastic forks,800,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-forks
plastic spoons,800,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-spoons
kitchen paper,800,0,1,cater4you.co.uk,15,https://cater4you.co.uk/product-category/janitorial/kitchen-roll/
individual cupcake boxes,800,0,1,cater4you.co.uk,14,https://cater4you.co.uk/product-category/bakery-and-cakes/individual-cupcake-boxes/
sandwich trays,800,1,1,cater4you.co.uk,3,https://cater4you.co.uk/product-category/food-packaging/sandwich-platter-trays/
foil trays with lids,800,0,1,cater4you.co.uk,5,https://cater4you.co.uk/product-category/food-packaging/foil-take-away-trays/
kebab sticks,800,0,1,cater4you.co.uk,20,https://cater4you.co.uk/product-category/catering-disposables/wooden-sticks-and-skewers/
brown paper bag,800,24,1,cater4you.co.uk,16,https://cater4you.co.uk/product/medium-printed-brown-paper-bags-for-takeaway/
disposable bowls,700,0,2,enviropack.org.uk,3,https://www.enviropack.org.uk/catering-packaging/food-bowls
branded coffee cups,700,24,2,takeawaypackaging.co.uk,5,https://takeawaypackaging.co.uk/branded-packaging/branded-takeaway-coffee-cups/
paper coffee cups,700,1,3,cupsdirect.co.uk,10,https://cupsdirect.co.uk/
red plastic cups,700,0,2,eventsupplies.co.uk,3,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups
solo cup,700,2,1,cupsdirect.co.uk,10,https://cupsdirect.co.uk/products/red-party-cup-range
catering trays,700,0,3,cupsdirect.co.uk,5,https://cupsdirect.co.uk/collections/food-packaging/catering-trays-&-scoops
plastic martini glasses,700,0,2,cater4you.co.uk,2,https://cater4you.co.uk/product/white-polycarbonate-plastic-martini-glass/
