keyword,best_position,best_position_url,volume,keyword_difficulty
"cling film",18,https://cupsdirect.co.uk/products/cling-film-range,6500,11
"paper cups",14,https://cupsdirect.co.uk/,2600,9
"food packaging",11,https://cupsdirect.co.uk/collections/food-packaging,2500,34
"foil trays",3,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range,2200,0
"plastic cocktail glasses",18,https://cupsdirect.co.uk/products/disposable-plastic-cocktail-glass-150ml,1500,0
"disposable coffee cups",4,https://cupsdirect.co.uk/,1400,1
"disposable cups",8,https://cupsdirect.co.uk/,1400,2
"coffee cups with lids",5,https://cupsdirect.co.uk/collections/lids,1400,0
"plastic tumblers",18,https://cupsdirect.co.uk/collections/reusable-plastic-glasses,1300,0
"plastic cup",6,https://cupsdirect.co.uk/products/clear-plastic-cup,1200,0
"clingfilm",14,https://cupsdirect.co.uk/products/cling-film-range,1200,4
"takeaway coffee cups",5,https://cupsdirect.co.uk/,1100,0
"plastic pint glasses",20,https://cupsdirect.co.uk/products/rpet-recyclable-tumblers-pint-half-pint-sustainable-range,1100,0
"paper cup",10,https://cupsdirect.co.uk/products/white-paper-cup,1000,11
"soup container",9,https://cupsdirect.co.uk/,1000,0
"paper bowls",6,https://cupsdirect.co.uk/collections/paper-foodservice-bowls,900,0
"takeaway containers",11,https://cupsdirect.co.uk/collections/food-packaging,900,0
"takeaway boxes",18,https://cupsdirect.co.uk/collections/food-packaging,900,2
"foil tray",3,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range,800,0
"dessert box",12,https://cupsdirect.co.uk/collections/bakery-dessert-packaging,800,0
"food trays",2,https://cupsdirect.co.uk/collections/food-packaging/catering-trays-&-scoops,800,0
"red plastic cups",15,https://cupsdirect.co.uk/products/red-party-cup-range,700,0
"solo cup",10,https://cupsdirect.co.uk/products/red-party-cup-range,700,2
"branded coffee cups",15,https://cupsdirect.co.uk/collections/custom-printed-paper-cups,700,24
"catering trays",5,https://cupsdirect.co.uk/collections/food-packaging/catering-trays-&-scoops,700,0
"paper coffee cups",10,https://cupsdirect.co.uk/,700,1
"branded cups",12,https://cupsdirect.co.uk/collections/custom-printed-paper-cups,600,25
"plastic martini glasses",20,https://cupsdirect.co.uk/products/disposable-plastic-cocktail-glass-150ml,600,0
"plastic glass",13,https://cupsdirect.co.uk/collections/reusable-plastic-glasses,600,0
"smoothie cup",3,https://cupsdirect.co.uk/products/diamond-plastic-smoothie-cup-range-pet-juice-cups-with-lids,600,0
"disposable coffee cups with lids",8,https://cupsdirect.co.uk/,600,0
"food packaging boxes",14,https://cupsdirect.co.uk/collections/food-packaging,500,3
"clear plastic cups",8,https://cupsdirect.co.uk/products/clear-plastic-cup,500,0
"platter boxes",4,https://cupsdirect.co.uk/products/kraft-catering-platter-sandwich-box-range,450,0
"iced coffee cups",9,https://cupsdirect.co.uk/blogs/insights/best-cups-for-iced-coffee-and-cold-drinks-uk-buyer-s-guide,450,0
"custom coffee cups",8,https://cupsdirect.co.uk/collections/custom-printed-paper-cups,400,24
"coffee cups takeaway",6,https://cupsdirect.co.uk/,400,0
"smoothie cups",5,https://cupsdirect.co.uk/Cups,400,0
"custom cups",7,https://cupsdirect.co.uk/collections/custom-printed-paper-cups,400,26
"red cup",4,https://cupsdirect.co.uk/products/red-party-cup-range,400,0
"paper cups for hot drinks",4,https://cupsdirect.co.uk/collections/paper-cups-for-hot-drinks,400,0
"take away containers",4,https://cupsdirect.co.uk/collections/food-packaging,350,0
"takeaway box",3,https://cupsdirect.co.uk/collections/food-packaging,350,3
"disposable cups for hot drinks",3,https://cupsdirect.co.uk/collections/paper-cups-for-hot-drinks,350,0
"plastic coffee cups",7,https://cupsdirect.co.uk/,350,0
"bagasse plates",9,https://cupsdirect.co.uk/products/square-bagasse-disposable-plates,350,0
"takeaway cups",5,https://cupsdirect.co.uk/,300,0
"12oz cup",12,https://cupsdirect.co.uk/products/12oz-custom-print-bespoke-paper-cups-single-wall,300,0
"smoothie cups with lids",4,https://cupsdirect.co.uk/collections/ices-smoothies-to-go,300,0
"cups with lids",5,https://cupsdirect.co.uk/collections/lids,300,0
"microwavable container",12,https://cupsdirect.co.uk/collections/food-packaging/microwavable-containers,300,2
"food packaging supplies",7,https://cupsdirect.co.uk/collections/food-packaging,300,33
"takeaway coffee cups with lids",5,https://cupsdirect.co.uk/,250,0
"greaseproof paper bags",12,https://cupsdirect.co.uk/collections/bags-greaseproof-foil,250,0
"reusable plastic glasses",12,https://cupsdirect.co.uk/collections/reusable-plastic-glasses,250,0
"takeaway food containers",7,https://cupsdirect.co.uk/collections/food-packaging,250,0
"food brand packaging",10,https://cupsdirect.co.uk/collections/food-packaging,250,0
"takeaway coffee cup",6,https://cupsdirect.co.uk/,250,0
"take away coffee cups",8,https://cupsdirect.co.uk/,250,0
"paper bowl",2,https://cupsdirect.co.uk/collections/paper-foodservice-bowls,250,0
"food packaging uk",2,https://cupsdirect.co.uk/collections/food-packaging,250,42
"disposable cups with lids",14,https://cupsdirect.co.uk/collections/lids,250,0
"branded paper cups",2,https://cupsdirect.co.uk/collections/custom-printed-paper-cups,250,4
"boba straws",8,https://cupsdirect.co.uk/products/12mm-paper-boba-straws-white,250,0
"milkshake cups with lids",6,https://cupsdirect.co.uk/collections/ices-smoothies-to-go,250,0
"bakery packaging",12,https://cupsdirect.co.uk/collections/cake-boxes-deserts,250,0
"plastic wine glasses reusable",12,https://cupsdirect.co.uk/collections/reusable-plastic-glasses,200,0
"coffee takeaway cup",8,https://cupsdirect.co.uk/,200,0
"12oz cups",11,https://cupsdirect.co.uk/products/12oz-custom-print-bespoke-paper-cups-single-wall,200,0
"disposable cup",10,https://cupsdirect.co.uk/,200,1
"drink cups",9,https://cupsdirect.co.uk/,200,0
"food containers takeaway",11,https://cupsdirect.co.uk/collections/food-packaging,200,2
"take away box",5,https://cupsdirect.co.uk/collections/food-packaging,200,2
"food packaging companies",4,https://cupsdirect.co.uk/collections/food-packaging,200,47
"disposable tea cups",12,https://cupsdirect.co.uk/,200,0
"white paper cups",3,https://cupsdirect.co.uk/products/plain-white-paper-cups,200,0
"sample packaging",10,https://cupsdirect.co.uk/products/kraft-food-packaging-samples,200,0
"small foil trays",5,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range,200,0
"smoothie straws",12,https://cupsdirect.co.uk/collections/smoothie-drinking-straws,200,0
"custom takeaway coffee cups",7,https://cupsdirect.co.uk/,200,0
"food packaging wholesale",10,https://cupsdirect.co.uk/collections/food-packaging,200,1
"red solo cups",10,https://cupsdirect.co.uk/products/red-party-cup-range,200,0
"cake boxes wholesale",13,https://cupsdirect.co.uk/collections/cake-boxes-deserts,200,0
"soup containers with lids",9,https://cupsdirect.co.uk/products/cupsdirect-kraft-heavy-duty-soup-pot-range-96-series,200,0
"aluminium trays",3,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range,200,0
"slush straws",10,https://cupsdirect.co.uk/products/black-spoon-straws,200,0
"takeaway packaging uk",13,https://cupsdirect.co.uk/collections/food-packaging,200,42
"jagerbomb glasses",12,https://cupsdirect.co.uk/products/jagerbomb-25cl-pet-bomb-shot-jagermeister,200,0
"disposable paper cups",8,https://cupsdirect.co.uk/,200,4
"soup containers",10,https://cupsdirect.co.uk/products/cupsdirect-kraft-heavy-duty-soup-pot-range-96-series,200,0
"printed coffee cups",5,https://cupsdirect.co.uk/collections/custom-printed-paper-cups,200,24
"printed cups",1,https://cupsdirect.co.uk/collections/custom-printed-paper-cups,200,50
"black coffee cup",5,https://cupsdirect.co.uk/products/black-ripple-weave-coffee-cup,200,0
"food packaging companies uk",8,https://cupsdirect.co.uk/collections/food-packaging,200,53
"food to go packaging",3,https://cupsdirect.co.uk/collections/food-packaging,200,49
"kraft box",7,https://cupsdirect.co.uk/products/kraft-deli-food-box-range,200,0
"cups direct",1,https://cupsdirect.co.uk/,200,0
"12 inch pizza boxes",9,https://cupsdirect.co.uk/products/kraft-brown-pizza-box-range,200,0
"hot drink cups",6,https://cupsdirect.co.uk/collections/paper-cups-for-hot-drinks,200,0
"water cups",9,https://cupsdirect.co.uk/collections/water-cups,200,0
