keyword,best_position,best_position_url,volume,keyword_difficulty
"disposable plates",4,https://www.enviropack.org.uk/tableware/plates,2800,0
"food packaging",3,https://www.enviropack.org.uk/,2500,34
"9 inch pizza",6,https://ubereats.enviropack.org.uk/takeaway-pizza-boxes-9-kraft,2300,0
"uk packaging",19,https://www.enviropack.org.uk/,1700,55
"ice cream tubs",17,https://www.enviropack.org.uk/dessert-cookies/ice-cream-containers,1600,0
"dessert cups",15,https://www.enviropack.org.uk/dessert-cookies/dessert-pots,1400,0
"food tray",3,https://www.enviropack.org.uk/catering-packaging/food-trays,1200,0
"eco friendly packaging",10,https://www.enviropack.org.uk/,1200,11
"sandwich bags",14,https://www.enviropack.org.uk/sandwich-bread/sandwich-bags-boxes,1100,0
"burger boxes",2,https://www.enviropack.org.uk/hot-food-containers/burger-boxes,1100,0
"sandwich box",3,https://www.enviropack.org.uk/sandwich-bread/sandwich-bags-boxes,1000,0
"soup container",12,https://www.enviropack.org.uk/hot-food-containers,1000,0
"packaging environmental",5,https://www.enviropack.org.uk/,1000,11
"paper bowls",2,https://www.enviropack.org.uk/hot-food-containers/paperboard-food-bowls,900,0
"foil paper",18,https://www.enviropack.org.uk/350x400mm-foil-insulated-dele-wrap-sheets-3,900,0
"wooden cutlery",19,https://www.enviropack.org.uk/tableware/tableware-cutlery,900,0
"takeaway packaging",16,https://www.enviropack.org.uk/hot-food-containers,800,31
"dessert box",14,https://www.enviropack.org.uk/dessert-cookies,800,0
"food trays",8,https://www.enviropack.org.uk/catering-packaging/food-trays,800,0
"disposable bowls",3,https://www.enviropack.org.uk/catering-packaging/food-bowls,700,0
"catering trays",20,https://www.enviropack.org.uk/catering-packaging/food-trays,700,0
"restaurant names",7,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html,600,2
"eco packaging",6,https://www.enviropack.org.uk/,600,52
"greaseproof paper sheets",8,https://ubereats.enviropack.org.uk/types,600,0
"disposable coffee cups with lids",4,https://www.enviropack.org.uk/cups-and-accessories/lids-hot-cups,600,0
"noodle box",14,https://www.enviropack.org.uk/hot-food-containers/noodle-boxes,600,3
"4oz",5,https://www.enviropack.org.uk/4oz-portion-pot-and-lids,600,0
"bagasse",9,https://www.enviropack.org.uk/hot-food-containers/bagasse-containers,500,2
"deli containers",8,https://www.enviropack.org.uk/cold-food-containers/deli-portion-pots,500,0
"wooden forks",10,https://www.enviropack.org.uk/tableware/disposable-forks,500,0
"biodegradable packaging",9,https://www.enviropack.org.uk/,500,17
"recyclable packaging",10,https://www.enviropack.org.uk/,500,16
"dessert pots",5,https://www.enviropack.org.uk/dessert-cookies/dessert-pots,450,0
"palm leaf plates",3,https://www.enviropack.org.uk/catering-packaging/palm-leaf-plates,350,0
"environmental packaging",4,https://www.enviropack.org.uk/,350,17
"cold cups",3,https://www.enviropack.org.uk/cups-and-accessories/cold-cups,350,0
"bagasse plates",3,https://www.enviropack.org.uk/tableware/bagasse-plates,350,0
