keyword,best_position,best_position_url,volume,keyword_difficulty
"plastic cups",2,https://eventsupplies.co.uk/collections/disposable-plastic-cups,4600,0
"plastic wine glasses",13,https://eventsupplies.co.uk/collections/plastic-wineglasses,4300,0
"plastic straws",4,https://eventsupplies.co.uk/collections/drinking-straws,3900,0
"plastic glasses",13,https://eventsupplies.co.uk/collections/plastic-glasses,3400,0
"plastic champagne flutes",8,https://eventsupplies.co.uk/collections/plastic-champagne-flutes,3000,0
"straws",8,https://eventsupplies.co.uk/collections/drinking-straws,2500,0
"plastic shot glasses",13,https://eventsupplies.co.uk/collections/plastic-shot-glasses,1900,0
"paper napkins",16,https://eventsupplies.co.uk/collections/paper-napkins,1800,0
"plastic cutlery",3,https://eventsupplies.co.uk/collections/cutlery,1800,0
"disposable coffee cups",19,https://eventsupplies.co.uk/collections/insulated-paper-cups,1400,1
"plastic cup",3,https://eventsupplies.co.uk/collections/disposable-plastic-cups,1200,0
"plastic champagne glasses",12,https://eventsupplies.co.uk/collections/plastic-champagne-flutes,1100,0
"disposable cutlery",4,https://eventsupplies.co.uk/collections/cutlery,1100,0
"plastic pint glasses",3,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers,1100,0
"coupe glasses",12,https://eventsupplies.co.uk/products/150ml-champagne-saucer-coupe,1100,3
"paper cup",15,https://eventsupplies.co.uk/collections/paper-coffee-cups,1000,11
"red cups",2,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups,900,0
"12oz",9,https://eventsupplies.co.uk/products/12oz-white-paper-cups,900,0
"16oz",17,https://eventsupplies.co.uk/products/16oz-white-paper-cups,900,0
"paper tablecloths",18,https://eventsupplies.co.uk/collections/paper-tablecovers,800,0
"plastic forks",3,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-forks,800,0
"plastic spoons",4,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-spoons,800,0
"red plastic cups",3,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups,700,0
"party cups",12,https://eventsupplies.co.uk/collections/disposable-plastic-cups,700,0
"paper coffee cups",15,https://eventsupplies.co.uk/collections/paper-coffee-cups,700,1
"disposable wine glasses",18,https://eventsupplies.co.uk/collections,700,0
"drinking straws",8,https://eventsupplies.co.uk/products/black-jumbo-plastic-drinking-straws,500,0
"clear plastic cups",6,https://eventsupplies.co.uk/collections/disposable-plastic-cups,500,0
"plastic flutes",11,https://eventsupplies.co.uk/collections/plastic-champagne-flutes,500,0
"plastic straws uk",7,https://eventsupplies.co.uk/collections/drinking-straws,500,0
"sauce pots",10,https://eventsupplies.co.uk/products/4oz-plastic-sauce-pots-with-lids,500,0
"plastic glasses for party",13,https://eventsupplies.co.uk/collections/plastic-glasses,450,0
"plastic drinking glasses",11,https://eventsupplies.co.uk/collections/plastic-glasses,450,4
"disposable glasses",10,https://eventsupplies.co.uk/collections/plastic-glasses,450,0
"disposable champagne flutes",10,https://eventsupplies.co.uk/collections/plastic-champagne-flutes,450,0
"paper cups for hot drinks",12,https://eventsupplies.co.uk/collections/insulated-paper-cups,400,0
"plastic straw",13,https://eventsupplies.co.uk/collections/drinking-straws,350,0
"plastic spoon",8,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-spoons,350,0
"plastic knives and forks",12,https://eventsupplies.co.uk/collections/cutlery,350,0
"white placemats",13,https://eventsupplies.co.uk/products/white-placemats,350,0
"plastic pint cups",3,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers,350,0
"disposable cups for hot drinks",11,https://eventsupplies.co.uk/collections/insulated-paper-cups,350,0
"8oz cup",8,https://eventsupplies.co.uk/products/8oz-white-paper-cups,300,0
"soup cup",3,https://eventsupplies.co.uk/collections/paper-soup-containers,300,0
"disposable plastic cups",2,https://eventsupplies.co.uk/collections/disposable-plastic-cups,300,0
"12oz cup",13,https://eventsupplies.co.uk/products/12oz-white-paper-cups,300,0
"banquet roll",5,https://eventsupplies.co.uk/collections/50m-banquet-rolls,300,0
"red party cups",3,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups,300,0
"disposable forks",11,https://eventsupplies.co.uk/collections/cutlery,250,0
"plastic party cups",3,https://eventsupplies.co.uk/collections/disposable-plastic-cups,250,0
"paper cups with lids",6,https://eventsupplies.co.uk/collections/cold-drink-paper-cups,250,0
"white paper plates",5,https://eventsupplies.co.uk/products/7-dia-white-paper-plates,250,0
"paper table cloths",9,https://eventsupplies.co.uk/collections/paper-tablecovers,250,0
"biodegradable food packaging",9,https://eventsupplies.co.uk/collections/biodegradable-food-boxes,250,1
"bendy straws",7,https://eventsupplies.co.uk/products/black-jumbo-plastic-drinking-straws,250,0
"champagne flutes plastic",12,https://eventsupplies.co.uk/collections/plastic-champagne-flutes,250,0
"plastic fork",5,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-forks,250,0
"chinese takeaway box",7,https://eventsupplies.co.uk/collections/noodle-boxes,250,0
"jager bomb glasses",3,https://eventsupplies.co.uk/products/jagerbomb-shot-glasses-bomb-shots,250,0
"disposable spoons",4,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-spoons,250,0
"12oz cups",5,https://eventsupplies.co.uk/products/12oz-white-paper-cups,200,0
"plastic lids",6,https://eventsupplies.co.uk/products/lids-for-dispolite-plastic-containers,200,0
"6oz cups",5,https://eventsupplies.co.uk/products/6oz-white-paper-cups-flat-white,200,0
"disposable pint glasses",2,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers,200,0
"white paper cups",11,https://eventsupplies.co.uk/products/12oz-white-paper-cups,200,0
"insulated cups for hot drinks",7,https://eventsupplies.co.uk/collections/insulated-paper-cups,200,4
"red solo cups",2,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups,200,0
"12oz coffee cup",11,https://eventsupplies.co.uk/products/12oz-white-paper-cups,200,0
"jagerbomb glasses",2,https://eventsupplies.co.uk/products/jagerbomb-shot-glasses-bomb-shots,200,0
"disposable paper cups",14,https://eventsupplies.co.uk/collections/paper-coffee-cups,200,4
"paper table covers",4,https://eventsupplies.co.uk/collections/paper-tablecovers,200,0
"coca cola cup",6,https://eventsupplies.co.uk/collections/coke-paper-cups,200,0
"8 oz cup",7,https://eventsupplies.co.uk/products/8oz-white-paper-cups,200,0
"plastic wine glasses for party",12,https://eventsupplies.co.uk/collections/plastic-wineglasses,200,0
"event supplies",1,https://eventsupplies.co.uk/,200,39
"orange napkins",12,https://eventsupplies.co.uk/products/orange-paper-napkins-33cm-2ply,200,0
"plastic coupe glasses",12,https://eventsupplies.co.uk/products/150ml-champagne-saucer-coupe,200,0
"hot drink cups",2,https://eventsupplies.co.uk/collections/insulated-paper-cups,200,0
"water cups",8,https://eventsupplies.co.uk/collections/vending-water-cooler-cups,200,0
"plastic wine glasses uk",3,https://eventsupplies.co.uk/collections/plastic-wineglasses,200,0
"plastic reusable cups",8,https://eventsupplies.co.uk/collections/reusable-plastic-tumblers,200,1
"coffee cups disposable",12,https://eventsupplies.co.uk/collections/paper-coffee-cups,200,0
"soup cups",5,https://eventsupplies.co.uk/collections/paper-soup-containers,200,0
"plastic party glasses",13,https://eventsupplies.co.uk/collections/plastic-glasses,200,0
"coffee paper cups",13,https://eventsupplies.co.uk/collections/paper-coffee-cups,150,1
"white plastic wine glasses",2,https://eventsupplies.co.uk/collections/plastic-wineglasses,150,0
"12oz plastic cups",11,https://eventsupplies.co.uk/collections/disposable-plastic-cups,150,0
"plastic drinking straws",2,https://eventsupplies.co.uk/collections/drinking-straws,150,0
"biodegradable packaging for food",4,https://eventsupplies.co.uk/collections/biodegradable-food-boxes,150,22
"plastic beer cups",2,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers,150,0
"large plastic cups",4,https://eventsupplies.co.uk/collections/disposable-plastic-cups,150,0
"recyclable food containers",5,https://eventsupplies.co.uk/collections/biodegradable-food-boxes,150,0
"dip pots",14,https://eventsupplies.co.uk/products/4oz-plastic-sauce-pots-with-lids,150,0
"prep bowls",12,https://eventsupplies.co.uk/products/elite-3-prep-bowls,150,0
"paper carrier bags wholesale",11,https://eventsupplies.co.uk/collections/paper-bags,150,2
"biodegradable takeaway containers",1,https://eventsupplies.co.uk/collections/biodegradable-food-boxes,150,2
"compostable food containers",11,https://eventsupplies.co.uk/collections/biodegradable-food-boxes,150,0
"plastic pots with lids",12,https://eventsupplies.co.uk/products/4oz-plastic-sauce-pots-with-lids,150,0
"clear plastic straws",9,https://eventsupplies.co.uk/products/clear-plastic-drinking-straws,150,0
"black paper napkins",3,https://eventsupplies.co.uk/products/black-paper-napkins-33cm-2ply,150,0
