keyword,best_position,best_position_url,volume,keyword_difficulty
"burger box",10,https://greenpak.supplies/category/hot-food-packaging/burger-boxes/,2700,0
"burger boxes",6,https://greenpak.supplies/category/hot-food-packaging/burger-boxes/,1100,0
"takeaway boxes",13,https://greenpak.supplies/,900,2
"16oz",4,https://greenpak.supplies/product/16oz-clear-pet-smoothie-cup/,900,0
"takeaway packaging",2,https://greenpak.supplies/,800,31
"chicken box",8,https://greenpak.supplies/category/hot-food-packaging/chicken-boxes/,700,0
"smoothie cup",14,https://greenpak.supplies/category/cups-accessories/smoothie-cups-lids/,600,0
"food packaging boxes",7,https://greenpak.supplies/,500,3
"foil containers",6,https://greenpak.supplies/product/no-1-foil-container/,500,0
"foil container",9,https://greenpak.supplies/product/no-1-foil-container/,450,0
"smoothie cups",2,https://greenpak.supplies/Cups,400,0
"paper cups for hot drinks",3,https://greenpak.supplies/category/cups-accessories/hot-drink-paper-cups/,400,0
"takeaway box",8,https://greenpak.supplies/,350,3
"disposable cups for hot drinks",7,https://greenpak.supplies/category/cups-accessories/hot-drink-paper-cups/,350,0
"hot chocolate cups",12,https://greenpak.supplies/product/12oz-cadbury-in-cup-hot-chocolate/,300,0
"smoothie cups with lids",2,https://greenpak.supplies/category/cups-accessories/smoothie-cups-lids/,300,0
"food packaging supplies",4,https://greenpak.supplies/,300,33
"polythene gloves",6,https://greenpak.supplies/product/medium-clear-polythene-gloves/,250,0
"milkshake cups with lids",3,https://greenpak.supplies/category/cups-accessories/smoothie-cups-lids/,250,0
"baguette tray",11,https://greenpak.supplies/product/compostable-black-baguette-tray/,250,0
"food packaging companies",6,https://greenpak.supplies/,200,47
"takeaway packaging supplies",5,https://greenpak.supplies/,200,65
"branded food packaging",4,https://greenpak.supplies/,200,40
"kraft bowl",4,https://greenpak.supplies/product/500ml-kraft-bowl/,200,0
"soup containers with lids",11,https://greenpak.supplies/category/hot-food-packaging/soup-containers-lids/,200,0
"tortilla wrap boxes",2,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,200,0
"takeaway packaging uk",3,https://greenpak.supplies/,200,42
"tortilla wrap packaging",13,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,200,0
"wrap packaging",4,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,200,0
"food packaging companies uk",10,https://greenpak.supplies/,200,53
"takeaway packaging suppliers",3,https://greenpak.supplies/,200,50
"food to go packaging",9,https://greenpak.supplies/,200,49
"packaging supplier",12,https://greenpak.supplies/,200,74
"salad boxes",13,https://greenpak.supplies/category/cold-food-packaging/salad-boxes/,200,0
"burger boxes wholesale",4,https://greenpak.supplies/category/hot-food-packaging/burger-boxes/,200,0
"hot drink cups",12,https://greenpak.supplies/category/cups-accessories/hot-drink-paper-cups/,200,0
"9oz",4,https://greenpak.supplies/product/9oz-clear-pet-smoothie-cup/,200,0
"greenpak supplies",1,https://greenpak.supplies/,200,0
"fried chicken bucket",2,https://greenpak.supplies/product/150oz-chicken-bucket/,150,0
"fish and chip boxes",3,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/,150,0
"burger trays",3,https://greenpak.supplies/product/compostable-black-burger-tray/,150,0
"fish and chips box",8,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/,150,0
"sandwich packaging box",8,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,150,0
"kraft bowls",3,https://greenpak.supplies/product/500ml-kraft-bowl/,150,0
"takeaway food packaging",7,https://greenpak.supplies/,150,51
"kraft burger box",3,https://greenpak.supplies/product/premium-kraft-burger-box/,150,0
"12oz ripple cups",2,https://greenpak.supplies/product/12oz-kraft-ripple-cup/,150,0
"hot dog trays",2,https://greenpak.supplies/category/hot-food-packaging/hotdog-trays/,150,0
"chip tray",10,https://greenpak.supplies/product/compostable-kraft-chip-tray/,150,0
"sos bags",7,https://greenpak.supplies/product/extra-large-kraft-sos-paper-carrier-bag/,150,0
"take away packaging",3,https://greenpak.supplies/,150,44
"green food packaging",5,https://greenpak.supplies/,150,16
"kraft salad bowls",5,https://greenpak.supplies/product/500ml-kraft-bowl/,150,0
"food packaging suppliers",6,https://greenpak.supplies/,150,47
"single wall cups",6,https://greenpak.supplies/product/4oz-single-wall-white-paper-cup/,150,0
"green pack",1,https://greenpak.supplies/,150,34
"takeaway supplies",6,https://greenpak.supplies/,150,0
"kids meal boxes",2,https://greenpak.supplies/product/jungle-childrens-meal-boxes/,150,0
"fish and chips boxes",4,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/,150,0
"takeaway boxes wholesale",5,https://greenpak.supplies/,150,43
"airlaid napkins",9,https://greenpak.supplies/product/40cm-white-airlaid-8-fold-dinner-napkin/,150,0
"disposable hot drink cups",12,https://greenpak.supplies/category/cups-accessories/hot-drink-paper-cups/,150,0
"10oz cup",10,https://greenpak.supplies/product/10oz-green-effect-double-wall-hot-drink-cup/,150,0
"packaging for food products",4,https://greenpak.supplies/,150,46
"food delivery packaging",6,https://greenpak.supplies/,150,0
"hot food packaging",2,https://greenpak.supplies/category/hot-food-packaging/,150,0
"blue wipes",10,https://greenpak.supplies/product/general-purpose-wipes-on-a-roll-blue/,100,0
"kraft ripple cups",1,https://greenpak.supplies/product/8oz-kraft-ripple-cup/,100,0
"premium burger box",7,https://greenpak.supplies/product/premium-kraft-burger-box/,100,0
"clamshell boxes",15,https://greenpak.supplies/category/hot-food-packaging/clamshell-boxes/,100,0
"food packaging supplies near me",5,https://greenpak.supplies/,100,53
"take away food boxes",11,https://greenpak.supplies/,100,1
"7 inch pizza box",6,https://greenpak.supplies/product/7-kraft-pizza-box/,100,0
"175ml glass",11,https://greenpak.supplies/Shop,100,0
"wrap box",3,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,100,1
"slim jim glass",4,https://greenpak.supplies/product/12-5oz-355ml-plastic-hi-ball-glass/,100,0
"takeaway food box",11,https://greenpak.supplies/,100,2
"take away food packaging",3,https://greenpak.supplies/,100,0
"red mop",5,https://greenpak.supplies/product/screw-in-socket-mop-head-red/,100,0
"baguette box",2,https://greenpak.supplies/product/kraft-baguette-box/,100,0
"kentucky mop handle",10,https://greenpak.supplies/product/kentucky-mop-handle-with-clips/,100,0
"takeaway packaging wholesale",6,https://greenpak.supplies/,100,58
"chicken and chips box",5,https://greenpak.supplies/category/hot-food-packaging/chicken-boxes/,100,0
"food packaging near me",2,https://greenpak.supplies/,100,41
"kraft tray",8,https://greenpak.supplies/product/compostable-kraft-chip-tray/,100,0
"chip boxes",9,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/,100,0
"packaging for wraps",1,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,100,0
"tortilla wrap box",3,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,100,0
"plastic soup containers",9,https://greenpak.supplies/category/hot-food-packaging/soup-containers-lids/,100,0
"custom takeaway packaging",8,https://greenpak.supplies/,100,41
"bagasse burger box",2,https://greenpak.supplies/product/bagasse-burger-box-6-x-6/,100,0
"plastic half pint glasses",11,https://greenpak.supplies/category/cups-accessories/pint-half-pint-glasses/,100,0
"chip trays",4,https://greenpak.supplies/product/compostable-kraft-chip-tray/,100,0
"food boats",8,https://greenpak.supplies/product/medium-wooden-food-boat-170mm/,100,0
"16oz plastic cups",7,https://greenpak.supplies/product/16oz-clear-pet-smoothie-cup/,90,0
"kraft platter box",8,https://greenpak.supplies/product/large-kraft-platter-box-insert/,90,0
"4oz cup",9,https://greenpak.supplies/product/4oz-single-wall-white-paper-cup/,90,0
"food takeaway boxes",4,https://greenpak.supplies/,90,1
"chicken boxes",5,https://greenpak.supplies/category/hot-food-packaging/chicken-boxes/,90,0
"black cocktail napkins",8,https://greenpak.supplies/product/24cm-2-ply-black-cocktail-napkin/,90,0
