keyword,volume,difficulty,cpc_usd_cents,parent_topic
napkins,4300,0,25,napkins
paper bags,3200,1,45,paper bags
paper cups,2900,9,35,paper cups uk
christmas napkins,2500,0,15,christmas napkins
pizza boxes,2100,0,40,pizza boxes
paper napkins,1800,0,20,paper napkins
food containers with lids,1700,4,15,food storage containers with lids
brown paper bags,1600,0,30,paper bags
personalised napkins,1400,0,50,personalised wedding napkins
plastic food containers,1400,6,20,plastic food containers
stainless steel food containers,900,0,30,metal food containers
paper party bags,900,1,20,paper party bags
plastic food containers with lids,900,3,20,food containers
airtight food storage containers,900,5,15,food storage containers
paper bags with handles,900,1,35,paper bags
wooden cutlery,900,0,20,wooden cutlery
printed paper bags,900,7,150,printed paper bags
paper coffee cups,800,1,30,disposable coffee cups
wooden cutlery tray,800,0,20,wooden cutlery tray
glass food containers with lids,700,0,25,glass tupperware
how to fold napkins,700,2,3,how to fold napkins fancy
ice cream cups,700,0,20,ice cream cup
green napkins,700,0,25,dark green napkins
disposable food containers,600,0,30,plastic food containers
paper sweet bags,600,0,20,paper sweet bags
white paper bags,600,0,35,white gift bags
metal food containers,600,0,25,metal food containers
cotton napkins,600,0,20,cotton napkins
small paper bags,600,0,20,small paper bags
paper cups for hot drinks,500,0,25,hot drink cups
food packaging boxes,500,3,80,food packaging boxes
red napkins,500,0,25,red napkins paper
white napkins,500,0,35,white napkins
pink napkins,500,0,30,pink napkins
christmas tree napkins,500,0,6,christmas tree napkin fold
wedding napkins,500,0,30,wedding napkins
embroidered napkins,450,0,30,embroidered napkins
custom paper bags,450,3,160,printed paper bags
kraft paper bags,450,0,100,small paper bags
large food storage containers,450,6,20,food storage containers
eco friendly food packaging,400,14,100,eco friendly food packaging
paper sandwich bags,400,0,20,paper sandwich bags
plastic food storage containers,400,2,25,food storage containers
gold napkins,400,0,20,gold napkins
blue napkins,350,0,35,navy blue napkins
paper bags wholesale,350,2,120,paper bags
christmas paper bags,350,0,30,small christmas gift bags
napkins cloth,350,0,20,cloth napkins
personalised pizza boxes,350,0,30,custom pizza boxes
paper mailing bags,350,0,150,paper mailing bags
black napkins,350,0,25,black napkins
napkins paper,350,0,20,paper napkins
party plates and napkins,350,1,25,party table cloth
soup containers,300,0,20,soup container
soup containers with lids,300,0,25,soup containers with lids
tartan napkins,300,0,20,tartan napkins
brown paper bags with handles,300,0,40,paper bags
custom greaseproof paper,300,2,250,printed greaseproof paper
custom pizza boxes,300,0,70,custom pizza boxes
catering disposables,300,1,170,catering disposables
food brand packaging,300,0,60,custom food packaging
baby shower napkins,300,0,,baby shower plates
white linen napkins,300,0,25,linen napkins
biodegradable food packaging,300,1,100,recycled food packaging
food packaging designer,300,0,170,food packaging designers
paper napkins uk,300,1,15,paper napkins
custom printed paper bags,300,8,170,printed paper bags
paper food bags,300,0,20,paper sandwich bags
large paper bags,300,0,25,extra large paper bags
paper bags with logo,250,2,150,printed paper bags
airtight food containers,250,4,20,food storage containers
dry food storage containers,250,4,20,food storage containers
pizza boxes for sale,250,0,30,pizza box
branding food packaging,250,0,130,custom food packaging
christmas napkins cloth,250,0,20,cloth napkins uk
brown paper gift bags,250,0,25,paper bags
paper cups with lids,250,0,25,takeaway coffee cups
greaseproof paper bags,250,0,45,greaseproof paper bags
burgundy napkins,250,0,25,burgundy napkins
plastic containers with lids for food,250,1,20,food containers
food branding & packaging,250,0,,food packaging design
non plastic food containers,250,1,25,non plastic food containers
recyclable food packaging,250,7,90,biodegradable food packaging
branded paper cups,250,4,300,branded disposable coffee cups
food packaging branding,250,0,130,branded food packaging
food packaging designers,250,0,150,food packaging designers
takeaway food containers,250,0,45,takeaway food containers
green linen napkins,250,0,45,green napkins
decoupage napkins,250,0,6,decoupage napkins
christmas paper napkins,250,0,15,christmas napkins
small food containers,250,2,15,food storage containers
printed greaseproof paper,250,1,350,greaseproof paper
stackable food storage containers,250,0,20,food storage containers
food packaging design companies,250,0,350,food packaging design
white paper cups,250,0,20,single wall cups
food packaging trays,200,0,100,food packaging trays
custom food packaging,200,2,140,custom food packaging
stainless steel food storage containers with lids,200,0,25,metal food containers
white napkins cloth,200,0,25,white cotton napkins
stainless steel food containers with lids,200,0,30,stainless steel food containers
