keyword,position,url,domain_rating,url_rating,refdomains,traffic,page_type
ice cream cups,2,https://www.asda.com/groceries/product/party-tableware/george-home-ice-cream-cups-with-wooden-spoons-10pk/9184155,81,0,,82,
ice cream cups,3,https://greenfeel.co.uk/44-ice-cream-cups,21,8,0,276,/Listing_Collection/Product
ice cream cups,4,https://www.ebay.co.uk/b/bn_7023567827,91,5,0,102,
ice cream cups,5,https://www.amazon.co.uk/ice-cream-paper-cups/s?k=ice+cream+paper+cups,93,0,,120,
ice cream cups,10,https://www.packgenie.co.uk/collections/personalised-ice-cream-cups,3,9,0,36,
takeaway packaging,1,https://takeawaypackaging.co.uk/,33,9,492,1253,/Core_Page/Homepage
takeaway packaging,2,https://greenpak.supplies/,10,4,471,830,
takeaway packaging,3,https://www.jjfoodservice.com/packaging,46,0,0,249,
takeaway packaging,6,https://www.vistaprint.co.uk/packaging/food-packaging,69,12,1,873,/Listing_Collection/Product
takeaway packaging,7,https://ambican.com/,25,8,677,1237,/Core_Page/Homepage
takeaway packaging,8,https://www.kitepackaging.co.uk/mcp/food-packaging/,54,17,69,725,/Listing_Collection/Product
takeaway packaging,9,https://www.tri-star.co.uk/Food-Packaging/Takeaway-Packaging~c~E5,30,6,0,62,
takeaway packaging,10,https://www.instagram.com/takeawaypackaging/,100,16,2,11,
soup containers,1,https://www.amazon.co.uk/Soup-Containers/s?k=Soup+Containers,93,0,,99,
soup containers,5,https://www.thespruceeats.com/best-containers-for-freezing-soup-7482293,85,5,3,85,/Article/Product_or_Brand_Review
soup containers,6,https://www.vegware.com/uk-en/catalogue/soup-containers/,61,0,,54,
soup containers,7,https://greenfeel.co.uk/24-soup-containers,21,8,0,107,/Listing_Collection/Product
soup containers,8,https://www.packaginglab.co.uk/products/soup-containers,10,5,0,8,/Landing_Page/Product_Page
soup containers,9,https://www.rawpac.co.uk/product-category/grab-go/soup-containers-grab-go/,3,6,0,6,
soup containers,10,https://cupsdirect.co.uk/products/cupsdirect-kraft-heavy-duty-soup-pot-range-96-series,12,4,0,19,/Listing/Product
eco friendly food packaging,1,https://ecofriendlyfoodpackaging.co.uk/,3,7,37,336,/Core_Page/Homepage
eco friendly food packaging,2,https://www.pack-supplies.co.uk/online-shop/food-packaging/,16,5,0,119,/Listing_Collection/Product
eco friendly food packaging,3,https://www.enviropack.org.uk/,49,4,33,2436,
eco friendly food packaging,4,https://www.greenmanpackaging.com/,17,8,333,365,/Core_Page/Homepage
eco friendly food packaging,5,https://cater4you.co.uk/product-category/food-packaging/eco-compostable-packaging/,35,11,2,29,
eco friendly food packaging,6,https://singleusealternatives.co.uk/product-category/food-containers/,9,8,3,192,/Listing_Collection/Product
eco friendly food packaging,7,https://www.foodcircle.com/magazine/sustainable-ecofriendly-food-packaging,19,4,16,112,/Article/Listicle
eco friendly food packaging,8,https://www.eco-craft.co.uk/collections/packaging,46,5,33,3461,/Listing_Collection/Product
eco friendly food packaging,9,https://www.packagingenvironmental.co.uk/,17,9,373,1291,/Core_Page/Homepage
biodegradable takeaway containers,1,https://eventsupplies.co.uk/collections/biodegradable-food-boxes,19,9,2,147,/Listing_Collection/Product
biodegradable takeaway containers,3,https://www.biopak.com/uk/containers-lids/containers,63,7,1,141,/Listing/Product
biodegradable takeaway containers,5,https://takeawaypackaging.co.uk/online-shop/cold-food-containers/bagasse-containers-lids/,33,4,0,14,/Listing_Collection/Product
biodegradable takeaway containers,7,https://singleusealternatives.co.uk/product-category/food-containers/,9,8,3,192,/Listing_Collection/Product
biodegradable takeaway containers,8,https://www.enviropack.org.uk/,49,4,33,2436,
biodegradable takeaway containers,9,https://afida.com/blog/eco-friendly-takeaway-containers,33,6,15,17,/Article/Tutorial_or_Guide
wooden cutlery,3,https://www.biopak.com/uk/cutlery-straws/cutlery/wood,63,7,1,160,/Listing_Collection/Product
wooden cutlery,4,https://greenfeel.co.uk/50-wooden-cutlery,21,8,0,90,/Listing_Collection/Product
wooden cutlery,5,https://cater4you.co.uk/product/3-in-1-wooden-cutlery-set/,35,4,0,21,
wooden cutlery,7,https://www.ecoleafproducts.co.uk/products/100-piece-cutlery-set-25-x-spoon-fork-knife-teaspoon-disposable-eco-friendly-biodegradable-wedding-and-party-dinnerware-canape-wooden-bamboo-like,8,4,2,104,/Listing/Product
wooden cutlery,8,https://www.asda.com/groceries/product/party-tableware/george-home-wooden-cutlery-set/7267078,81,0,,61,
wooden cutlery,10,https://www.gompels.co.uk/wooden-cutlery-100-pack.html,54,4,,3,
catering disposables,1,https://www.cateringdisposables.ie/,11,4,230,164,/Core_Page/Homepage
catering disposables,2,https://www.buzzcateringsupplies.com/catering-disposables.html,39,8,0,72,
catering disposables,3,https://www.nextdaycatering.co.uk/category/25533/catering-disposables-bags-and-paper,40,16,1,62,/Listing_Collection/Product
catering disposables,4,https://www.allianceonline.co.uk/disposables.html,42,11,7,130,/Listing_Collection/Product
catering disposables,5,https://www.medirite.co.uk/kitchen/catering-supplies,6,6,0,59,
catering disposables,6,https://www.nisbets.co.uk/consumables/catering-disposables/_/a33-2,61,24,0,82,/Core_Page/Homepage
catering disposables,7,https://rbwholesale.co.uk/product-category/front-of-house/catering-disposables/,0,5,0,22,
catering disposables,8,https://www.quickdisposables.co.uk/,5,4,217,54,/Listing_Collection/Product
catering disposables,9,https://www.empiresuppliesonline.co.uk/collections/food-catering-disposables,11,9,0,14,/Listing_Collection/Product
catering disposables,10,https://www.elpack.co.uk/product-category/catering/,4,7,0,21,
napkins wholesale,1,https://www.britishwholesales.co.uk/table-linen/wholesale-napkins,17,11,3,303,/Landing_Page/Product_Page
napkins wholesale,2,https://www.catering24.co.uk/napkins-table-covers/paper-napkins,18,9,2,129,/Listing_Collection/Product
napkins wholesale,4,https://www.imatrading.co.uk/collections/wholesale-napkins,11,6,0,69,
napkins wholesale,5,https://trade.talkingtables.co.uk/collections/paper-napkins,56,7,0,32,/Listing_Collection/Product
napkins wholesale,6,https://www.richardhaworth.co.uk/table-linen/napkins,39,7,31,1465,
napkins wholesale,7,https://www.mbswholesale.co.uk/disposables-tabletop/disposable-paper-napkins/,14,0,,32,
napkins wholesale,8,https://www.astralhygiene.co.uk/paper-products/napkins/,15,6,0,22,
napkins wholesale,9,https://www.brake.co.uk/catering-supplies/napkins-tablecovers/napkins,58,15,0,11,
napkins wholesale,10,https://www.redparrot.co.uk/paper-disposables/napkins,2,0,,3,
greaseproof paper,3,https://www.amazon.co.uk/greaseproof-paper-sheets,93,0,,202,
greaseproof paper,4,https://charlotteexpresspackaging.co.uk/Shop,4,0,,192,
greaseproof paper,5,https://branditpack.co.uk/Shop,1,0,,118,
greaseproof paper,6,https://www.tradeprint.co.uk/Hospitality,47,0,,190,
greaseproof paper,7,https://www.jjfoodservice.com/wrapping-materials,46,0,,75,
greaseproof paper,8,https://www.itsawrap.co/,19,8,444,66,/Landing_Page/Service_Page
greaseproof paper,9,https://www.allianceonline.co.uk/disposables,42,0,,48,
