keyword,best_position,best_position_url,volume,keyword_difficulty
"food boxes",1,https://takeawaypackaging.co.uk/food-carriers,3500,0
"greaseproof paper",13,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/,2600,0
"food packaging",6,https://takeawaypackaging.co.uk/,2500,34
"pizza boxes",15,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/pizza-boxes/,1900,0
"paper bag",5,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/paper-bags/,1800,36
"ice cream tubs",2,https://takeawaypackaging.co.uk/product-category/ice-cream-tubs-lids/,1600,0
"disposable coffee cups",6,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,1400,1
"disposable cups",10,https://takeawaypackaging.co.uk/online-shop/disposable-cups/,1400,2
"coffee cups with lids",3,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,1400,0
"paper straws",17,https://takeawaypackaging.co.uk/online-shop/cup-accessories/biodegradable-straws-paper-straws/,1200,0
"food box",12,https://takeawaypackaging.co.uk/food-carriers,1200,0
"takeaway coffee cups",2,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,1100,0
"burger boxes",3,https://takeawaypackaging.co.uk/product/kraft-burger-box/,1100,0
"plastic cups with lids",20,https://takeawaypackaging.co.uk/online-shop/cups/recyclable-clear-cups-lids/,1000,0
"takeaway containers",4,https://takeawaypackaging.co.uk/product-category/hot-food-containers/,900,0
"takeaway boxes",8,https://takeawaypackaging.co.uk/,900,2
"takeaway packaging",1,https://takeawaypackaging.co.uk/,800,31
"paper bags with handles",4,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/twisted-handle-paper-bags/,800,1
"disposable bowls",16,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/biodegradable-eco-bowl-and-lids/,700,0
"branded coffee cups",5,https://takeawaypackaging.co.uk/branded-packaging/branded-takeaway-coffee-cups/,700,24
"paper coffee cups",17,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,700,1
"ice cream cups",11,https://takeawaypackaging.co.uk/online-shop/ice-cream-tubs-lids/,700,0
"branded packaging",12,https://takeawaypackaging.co.uk/branded-packaging/,600,7
"greaseproof paper sheets",15,https://takeawaypackaging.co.uk/branded-packaging,600,0
"disposable coffee cups with lids",13,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,600,0
"bagasse",4,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/bagasse-tableware/,500,2
"food packaging boxes",5,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/kraftware/,500,3
"chip box",14,https://takeawaypackaging.co.uk/product/2200ml-fish-and-chip-boxes-qty-200/,500,0
"do hot drinks cool you down",20,https://takeawaypackaging.co.uk/hot-drinks-cool-you-down/,450,6
"food packaging design",1,https://takeawaypackaging.co.uk/design-service/,450,0
"coffee cups takeaway",1,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/,400,0
"paper cups for hot drinks",13,https://takeawaypackaging.co.uk/online-shop/cups/recyclable-coffee-cups-lids/,400,0
"ice cream tubs with lids",10,https://takeawaypackaging.co.uk/online-shop/ice-cream-tubs-lids/,400,0
"compostable cups",10,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-clear-cups-lids/,350,0
