#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (01-2024 - 12-2025),SV Forecasting trend (01-2026 - 01-2027)
1,cocktail napkins,gb,0,700,0.50,1.1,cocktail napkins,2025-12-31 04:49:51,"Shopping,Thumbnail,People also ask,Video preview",7100,150,150,2015-09-11,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"566, 465, 468, 447, 509, 521, 524, 454, 455, 582, 879, 862, 596, 582, 567, 560, 657, 594, 708, 704, 613, 710, 1007, 757","658, 625, 635, 614, 692, 687, 691, 679, 644, 682, 764, 739, 639"
2,kraft paper bags,gb,1,350,0.70,0.97,brown paper bags,2025-12-21 01:39:49,"Shopping,Thumbnail,Local teaser pack,Video preview",5300,2700,2900,2015-09-04,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"366, 306, 371, 304, 255, 314, 305, 259, 308, 309, 386, 315, 252, 353, 432, 363, 379, 311, 362, 362, 465, 342, 440, 369","363, 373, 383, 343, 343, 352, 355, 356, 375, 413, 495, 370, 364"
3,wooden stirrers,gb,0,250,0.35,0.7,wooden stirrer,2025-12-20 01:13:40,"Shopping,Thumbnail,People also ask,Video preview",1000,250,250,2015-10-04,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"266, 303, 255, 261, 256, 212, 214, 219, 269, 323, 323, 260, 314, 309, 307, 248, 255, 214, 201, 232, 320, 283, 279, 261","273, 276, 265, 242, 253, 237, 235, 235, 272, 298, 321, 261, 273"
4,double wall coffee cups,gb,0,250,0.30,0.95,double walled coffee cups,2025-12-17 04:59:54,"Shopping,Thumbnail,People also ask,Discussions,Sitelinks,Video preview",3100,250,250,2016-09-02,"Informational,Commercial,Non-branded,Non-local",English,"299, 224, 215, 161, 161, 147, 179, 174, 235, 244, 283, 429, 254, 207, 196, 198, 205, 159, 187, 196, 233, 245, 382, 373","263, 214, 202, 192, 187, 172, 174, 177, 193, 226, 315, 352, 243"
5,dinner napkins,gb,0,200,0.25,0.62,linen napkins,2026-01-02 05:05:11,"Shopping,Thumbnail,People also ask,Video preview",2800,100,100,2016-01-17,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
6,coffee cup lids,gb,0,150,0.30,,cup and lid,2025-12-30 14:42:21,"Shopping,Thumbnail,People also ask",1200,200,200,2016-01-15,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
7,wooden coffee stirrers,gb,0,150,0.30,1,wooden stirrer,2025-12-25 11:59:38,"Shopping,Thumbnail,People also ask,Discussions",1100,250,250,2015-10-03,"Commercial,Transactional,Non-branded,Non-local",English,"122, 117, 144, 143, 119, 98, 122, 119, 121, 123, 121, 144, 144, 119, 124, 116, 174, 118, 149, 125, 148, 163, 133, 138","147, 149, 155, 144, 153, 136, 136, 140, 143, 161, 167, 142, 151"
8,kraft paper mailing bags,gb,0,150,1.90,,mailing bags,2026-01-01 13:41:13,"Shopping,Thumbnail",250,400,400,2017-07-11,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
9,brown kraft paper bags,gb,0,100,1.10,,paper bags,2026-01-12 05:47:03,"Shopping,Thumbnail",600,2900,3200,2015-10-19,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
10,cardboard cup carriers,gb,,100,,,,,,150,,,2015-09-19,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
11,wooden paint stirrers,gb,,100,,,,,,150,,,2015-09-22,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
12,double wall disposable coffee cups,gb,,100,0.90,,,,,200,,,2019-08-25,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
13,printed kraft paper bags,gb,2,100,2.00,,personalised paper bags,2026-01-13 17:10:34,"Shopping,Thumbnail,Bottom ads",300,350,350,2016-01-20,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
14,personalised cocktail napkins,gb,0,100,0.45,,custom cocktail napkins,2026-01-08 23:17:04,"Top ads,Shopping,Thumbnail,Bottom ads,Paid sitelinks",200,30,30,2016-06-09,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
15,double wall glass coffee cups,gb,0,100,0.25,,double walled coffee glasses,2025-12-23 18:03:36,"Shopping,Thumbnail,Sitelinks,People also ask,Discussions",600,350,350,2015-12-15,"Informational,Commercial,Non-branded,Non-local",English,,
16,cotton dinner napkins,gb,,90,0.25,,,,,400,,,2016-04-21,,,,
17,cocktail napkins uk,gb,0,90,0.25,,cocktail napkins,2025-12-29 23:30:53,"Shopping,Thumbnail,People also ask",100,150,150,2015-09-11,"Informational,Commercial,Transactional,Non-branded,Local",English,,
18,embroidered cocktail napkins,gb,,90,0.35,,,,,700,,,2017-11-19,,,,
19,branded cocktail napkins,gb,0,90,1.50,,branded napkins,2026-01-15 14:37:17,"Shopping,Thumbnail",400,100,100,2017-10-09,"Informational,Commercial,Transactional,Branded,Non-local",English,,
20,linen-like paper dinner napkins,gb,,80,,,,,,80,,,2025-01-24,,,,
21,kraft paper bags with handles,gb,0,80,1.10,,paper bags,2026-01-08 13:33:33,"Thumbnail,Shopping,Bottom ads,Paid sitelinks",700,2900,3200,2016-02-16,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
22,cup carriers,gb,0,80,0.20,,cardboard cup holder,2025-12-30 04:47:53,"Shopping,Thumbnail,People also ask",450,150,150,2015-10-03,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
23,can you recycle coffee cups,gb,3,80,,,can you recycle coffee cups,2025-12-29 04:24:34,"AI Overview,Thumbnail,People also ask",200,150,200,2016-01-16,"Informational,Non-branded,Non-local",English,,
24,linen cocktail napkins,gb,0,80,1.10,,cocktail napkins,2026-01-04 11:40:03,"Shopping,Thumbnail",1000,40,40,2016-11-09,"Commercial,Transactional,Non-branded,Non-local",English,,
25,disposable dinner napkins,gb,,80,,,,,,300,,,2018-03-27,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
26,custom cocktail napkins,gb,1,80,0.45,,custom cocktail napkins,2026-01-01 16:54:05,"Thumbnail,Shopping,Bottom ads",3800,20,20,2020-01-10,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
27,mini kraft paper bags,gb,0,80,0.20,,,,,150,,,2017-07-21,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
28,black cocktail napkins,gb,0,70,0.35,,black cocktail napkins,2026-01-08 20:02:38,"Shopping,Thumbnail,People also ask",450,20,20,2015-10-12,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
29,extra large cloth dinner napkins,gb,,70,,,,,,80,,,2021-01-27,,,,
30,kraft paper bags wholesale,gb,0,70,1.10,,paper bags,2026-01-03 15:03:19,"Shopping,Thumbnail,Knowledge panel,Sitelinks",500,2900,3200,2015-09-13,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
31,12oz coffee cups,gb,0,70,1.40,,12oz,2026-01-01 16:32:56,"Shopping,Thumbnail,People also ask",250,400,400,2016-06-16,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
32,white cocktail napkins bulk,gb,,70,,,,,,90,,,2021-09-06,,,,
33,8oz coffee cups,gb,0,70,0.60,,8oz cups,2026-01-06 21:08:54,"Shopping,Thumbnail,People also ask",300,60,60,2015-10-24,"Commercial,Transactional,Non-branded,Non-local",English,,
34,coffee cup lids reusable,gb,,60,,,,,,150,,,2017-08-09,,,,
