sku,original_name,original_material,proposed_brand,proposed_colour,proposed_material,proposed_name,size,certifications
BGP-CS-9-WH,9″ x 9″ White Moulded Fibre Clamshell Box – Recyclable,fibre,,White,Fibre,Clamshell Box,9in,Recyclable
BGP,Large Bagasse Food Box – Compostable,bagasse,,,Bagasse,Food Box,large,""
BGP-TY-2,Medium Bagasse Chip Tray 7x5in Compostable,bagasse,,,Bagasse,Medium Chip Tray,5in,Compostable
VEG-BGG-12-2,Vegware 12oz / 360ml Gourmet Base Compostable,bagasse,Vegware,,,Gourmet Base,"12oz, 340ml",Compostable
VEG-BGG-12,Vegware 12oz / 360ml Gourmet Dipping Base Compostable,"bagasse, pp",Vegware,,,Gourmet Dipping Base,"12oz, 360ml",Compostable
VEG-BGP-CS-3,Vegware 12x6in Bagasse Clamshell Compostable,bagasse,Vegware,,Bagasse,Clamshell,6in,Compostable
VEG-BGG-16,Vegware 16oz / 500ml Gourmet Base Compostable,bagasse,Vegware,,,Gourmet Base,"16oz, 500ml",Compostable
VEG-BGG-18,Vegware 18oz / 550ml Gourmet Dipping Base Compostable,"",Vegware,,,Gourmet Dipping Base,"",""
VEG-BGG-22-2,Vegware 22oz / 650ml Gourmet Base Compostable,bagasse,Vegware,,,Gourmet Base,"22oz, 650ml",Compostable
VEG-BGG-32,Vegware 32oz / 1000ml Gourmet Base Compostable,"",Vegware,,,Gourmet Base,"",""
VEG-BGP-BG-3,Vegware 5in Bagasse Burger Box Recyclable Compostable,bagasse,Vegware,,Bagasse,Burger Box,5in,Compostable
VEG-BGP-BG-2,Vegware 6in Bagasse Burger Box Recyclable Compostable,bagasse,Vegware,,Bagasse,Burger Box,6in,Compostable
VEG-BGP-BG,Vegware 6in Heavyweight Bagasse Burger Box Compostable,bagasse,Vegware,,Bagasse,Heavyweight Burger Box,5in,Compostable
VEG-BGP-CS-7,Vegware 7x5in Bagasse Clamshell Recyclable Compostable,bagasse,Vegware,,Bagasse,Clamshell,5in,Compostable
VEG-BGP-CS-2,Vegware 7x5in Heavyweight Bagasse Clamshell Compostable,bagasse,Vegware,,Bagasse,Heavyweight Clamshell,5in,Compostable
VEG-BGP-CS-6,Vegware 7x7in Bagasse Clamshell Compostable,bagasse,Vegware,,Bagasse,Clamshell,7in,Compostable
