production_sku,current_name,supplier_sku,mapping_ppp_sku,ppp_name,api_status,name_tokens_shared,confidence
XMS-16,Christmas Double-Wall Cup,,PW16XMAS2024,16oz Christmas Double-Wall Paper Cup – Compostable  Recyclable,not_in_api,4,REVIEW
BGP,Food Box,LF&CBOX,LFCBOX,Large Bagasse Food Box – Compostable,corrected,2,corrected-ok
FNC-7,Leakproof Pots with Lids,D19016,09COV/7OZPP,7oz Leakproof Recyclable Paper Pots with lids (Case of 250),corrected,4,corrected-ok
GP-400,Honeycomb -Backed Deli Wrap Sheets ( Insulating),HFIS.350.400.PL,HFIS.267.400.PL,Honeycomb Foil-Backed Deli Wrap Sheets – 350x400mm (Food Safe  Insulating),corrected,6,corrected-ok
MFB-BG-BK-2,Burger Box,GRAND6B,GRAND6,Black Kraft Burger Box – Case of 200 Recyclable,corrected,2,corrected-ok
NAP-30-WH,Soft Napkin 1-Ply,3014WHCOM/330,3014WHCOM,Soft White Napkin 30cm 1-Ply – Recyclable,corrected,4,corrected-ok
HCX-ST,Stirrer,G01006,G01006,7.5in Wooden Stirrer Recyclable/Compostable,live,1,medium
STR-10,Straw,10MCS240X20X8,10MCS240X20X8,Bright Colour Paper Straw 10mm x 200mm – Recyclable  Food-Safe,live,1,medium
STR-6-WH,Straw,6BLW200X20X2,6BLW200X20X2,Blue/White Paper Straw 6mm x 200mm – Recyclable  Food-Safe,live,1,medium
STR-6-WH-2,Striped Straw,6RW200X20X25,6RW200X20X25,Red/White Paper Straw 6mm x 200mm – Recyclable  Food-Safe,live,1,medium
STR-6-WH-3,Striped Straw,6GW200X20X25,6GW200X20X25,Green/White Paper Straw 6mm x 200mm – Recyclable  Food-Safe,live,1,medium
BAG-12,Lined Food Bags,PWFOIL,PWFOIL,12-Inch Foil-Lined Food Bags (7 x 9 x 12 Inches) Recyclable,live,3,high
BAG-170,Newspaper 2 Open-Sided Bags,GP0416,GP0416,Newspaper 2 Open-Sided Bags 170mm x 160mm  Food Safe  Recyclable,live,5,high
BAG-170-2,Contact Grill Bag,10373,10373,Contact Grill Bag 170mm (Case of 600),live,3,high
BAG-170-BK,Gingham 2 Open-Sided Bags,GP0413,GP0413,Black Gingham 2 Open-Sided Bags 170mm x 160mm  Food Safe  Recyclable,live,5,high
BAG-170-BL,Gingham 2 Open-Sided Bags,GP0412,GP0412,Blue Gingham 2 Open-Sided Bags 170mm x 160mm  Food Safe  Recyclable,live,5,high
BAG-170-KR,2 Open-Sided Bags,GP0420,GP0420,Kraft 2 Open-Sided Bags 170mm x 160mm  Food Safe  Recyclable,live,4,high
BAG-170-RD,Gingham 2 Open-Sided Bags,GP0410,GP0410,Red Gingham 2 Open-Sided Bags 170mm x 160mm  Food Safe  Recyclable,live,5,high
BAG-180-CL,Natureflex Multi Bag,VGN5-case-,VGN5-case-,Clear Natureflex Multi Bag 220 x 180mm Compostable (Case of 1000),live,3,high
BAG-195,Contact Grill Bag,10370,10370,Contact Grill Bag 195mm (Case of 500),live,3,high
BAG-205-CL,Natureflex Bag,VGN2-case-,VGN2-case-,"Clear Natureflex Bag 170 x 205mm Compostable (Case of 1,000)",live,2,high
BAG-210-CL,Natureflex Bag,VGN1-case-,VGN1-case-,Clear Natureflex Bag 70 x 210mm Compostable (Case of 1000),live,2,high
BAG-240-CL,Natureflex Multi Bag with Gusset,VGN6-case-,VGN6-case-,Clear Natureflex Multi Bag with Gusset 150 x 50 x 240mm Compostable (Case of 1000),live,5,high
BAG-260,Contact Grill Bag,10371,10371,Contact Grill Bag 260mm (Case of 500),live,3,high
BAG-320,Contact Grill Bag,10369,10369,Contact Grill Bag 320mm Compostable (Case of 600),live,3,high
BAG-350-CL,Natureflex Baguette Bag With Gusset,VGN4-case-,VGN4-case-,Clear Natureflex Baguette Bag With Gusset 100 x 50 x 350mm Compostable (Case of 1000),live,5,high
BAG-350-CL-2,Natureflex Baguette Bag,VGN3-case-,VGN3-case-,Clear Natureflex Baguette Bag 100 x 350mm Compostable (Case of 1000),live,3,high
BAG-CR,Large Carrier Width,XLBAG,XLBAG,X Large Recycled Paper Carrier  13in width Recyclable/Compostable (Case of 200),live,3,high
BAG-CR-2,Carrier Bag/Takeaway Bag,PCB300,PCB300,Frosted Plastic Carrier Bag/Takeaway Bag Recyclable (Case of 300),live,3,high
BAG-CR-3,Large Carrier Width,LBAG,LBAG,Large Recycled Paper Carrier  10in width Recyclable/Compostable (Case of 250),live,3,high
BAG-CR-4,Medium Carrier Width,MBAG,MBAG,Medium Recycled Paper Carrier 8.5in width Recyclable/Compostable (Case of 250),live,3,high
BAG-CR-5,Small Carrier Width,SBAG,SBAG,Small Recycled Paper Carrier  7in width Recyclable/Compostable (Case of 250),live,3,high
BAG-CR-BL,Carrier Bags,FBCB.11.17.21.20.BR3,FBCB.11.17.21.20.BR3,Blue Plastic Carrier Bags 11 x 17 x 21,live,2,high
BAG-CR-WH,Carrier Bags 23 25 Micron Strong,FWCB.11.17.21.21.WP12,FWCB.11.17.21.21.WP12,White Plastic Carrier Bags 12 x 19 x 23 – 25 Micron Strong,live,6,high
BAG-CR-WH-2,Carrier Bags,FWCB.11.17.21.21.WP8,FWCB.11.17.21.21.WP8,White Carrier Bags 11 x 17 x 21,live,2,high
BAG-GR-KR,Large SOS Grab Bag,GRABBAG,GRABBAG,Large Kraft Brown SOS Paper Grab Bag – Recyclable,live,4,high
BAG-KR-3,Wide Bag/Takeaway Bags,CB254,CB254,Brown Kraft Wide Bag/Takeaway Bag Recyclable (Case of 250),live,3,high
BAG-RC-200,Contact Grill Bag Rectangular,10372,10372,Contact Grill Bag 200mm Rectangular (Case of 1000),live,4,high
BGP-CS-9-WH,Clamshell Box,D06022,D06022,9″ x 9″ White Moulded Fibre Clamshell Box – Recyclable,live,2,high
BGP-TY-2,Medium Chip Tray,D06007,D06007,Medium Bagasse Chip Tray 7x5in Compostable,live,3,high
BGT-RD-10,Round 3-Compartment Plate,10340.103,10340.103,10″ Round 3-Compartment Bagasse Plate – Compostable  Recyclable,live,4,high
BGT-RD-7,Round Plate,10340.07,10340.07,7″ Round Bagasse Plate – Compostable  Recyclable,live,2,high
BGT-RD-9,Round Plate,10340.09,10340.09,9″ Round Bagasse Plate – Compostable  Recyclable,live,2,high
BOX-1200-KR,Tuck Top Window Salad Box,61003,61003,PLA Tuck Top Kraft Window Salad Box 1200ml Compostable (Case of 200),live,5,high
BOX-26-WH,Food Pail PE-Lined Leak-Resistant,D42130,D42130,26 oz White Food Pail PE-Lined – Leak-Resistant  Recyclable,live,6,high
BOX-500-KR,Tuck Top Window Salad Box,61000,61000,PLA Tuck Top Kraft Window Salad Box 500ml Compostable (Case of 200),live,5,high
BOX-700-KR,Tuck Top Window Salad Box,61001,61001,PLA Tuck Top Kraft Window Salad Box 700ml Compostable (Case of 200),live,5,high
BOX-900-KR,Tuck Top Window Salad Box,61002,61002,PLA Tuck Top Kraft Window Salad Box 900ml Compostable (Case of 200),live,5,high
BWL-1000-KR,Food Bowl Lids,A48001,A48001,"PET Kraft Food Bowl Lids For 500, 750  1000ml Recyclable (Case of 300) (149mm Diameter)",live,3,high
BWL-1000-KR-2,"Food Bowl Lids For 500, 750 ( Diameter)",A48011,A48011,"PP Kraft Food Bowl Lids For 500, 750  1000ml Recyclable (Case of 300) (149mm Diameter)",live,7,high
BWL-1000-KR-3,Large Round Food Bowl ( Diameter),D48002,D48002,Large Kraft Round Food Bowl  1000ml Recyclable (Case of 300) (149mm Diameter),live,5,high
BWL-1300-KR,Extra Large Round Food Bowl,D48003,D48003,Extra Large Round Kraft Food Bowl  1300ml Recyclable (Case of 300),live,5,high
BWL-168-KR,Lids For Large Round Food Bowl ( Diameter) (Dispo),63003,63003,PP Lids For Large Kraft Round Food Bowl Recyclable (Case of 300) (168mm Diameter) (Dispo),live,8,high
BWL-RD-KR-2,Lids For Extra Large Round Food Bowl,A48012,A48012,PP Lids For Extra Large Round Kraft Food Bowl Recyclable (Case of 300),live,7,high
CC-22,Coke Zero Cold Cups,BPUKCC22,BPUKCC22,Coke Zero 22oz Cold Cups – Recyclable,live,4,high
CC-22-2,Pepsi Max Cold Cups,BPUKPEPMX,BPUKPEPMX,Pepsi Max 22oz Cold Cups – Recyclable,live,4,high
CC-9-3,R- Squat Cold Cup,R16008,R16008,9oz r-PET Squat Cold Cup Recyclable (Case of 1000),live,4,high
CC-CR-KR,Takeaway Pint Cup Carrier 4 Cup Inline Holder with Handle,PP4CUP,PP4CUP,Kraft Takeaway Pint Cup Carrier – 4 Cup inline Holder with Handle,live,9,high
CC-PN,Two Pint to Line Cup,4330017,4330017,Recyclable Two Pint to Line CE Marked Cup,live,5,high
CC-PN-2,Two Pint to Brim Cup,4330016Z,4330016Z,Recyclable Two Pint to Brim CE Marked Cup,live,5,high
CC-PN-285,Half Pint Tumbler To Rim,R15013,R15013,HALF PINT TUMBLER (285ML) TO RIM (RPET) (Case of 1000),live,5,high
CC-PN-4,1 Flexy Pint Glasses to Brim,FG616CBIOSELF,FG616CBIOSELF,Recyclable 2-in-1 Flexy Pint Glasses to Brim CE Marked,live,6,high
CC-PN-568,Pint Tumbler To Rim,R15014,R15014,PINT TUMBLER (568ML) TO RIM (RPET) Recyclable (Case of 1000),live,4,high
CC-PN-6,Half Pint to Brim Cup,PINT0.5,PINT0.5,"Half pint to brim PLA cup, UKCA UKNI CE mark",live,5,high
CC-SH-25,Shot Glasses,SHOT25,SHOT25,25ml Plastic Shot Glasses – Recyclable,live,2,high
CC-SH-25-2,Bomb Shot Glass,XR15005DO,XR15005DO,25ml rPET Bomb Shot Glass Recyclable (Case of 1000),live,3,high
CNT,Lid Stagione,10162,10162,PP Lid Stagione Recyclable (Case of 300),live,2,high
CNT-1000-KR,Food Tray PE-Lined,D48102,D48102,Kraft Food Tray 1000 ml – Recyclable  PE-Lined,live,4,high
CNT-1000-KR-2,Food Tray Stagione,10037,10037,Kraft Food Tray 1000ml Stagione Recyclable (Case of 300),live,3,high
CNT-150,Anti-mist Lid Stagione,10397,10397,150ml-250ml rPET Anti-mist Lid Stagione Recyclable (Case of 500),live,4,high
CNT-150-KR,Food Tray Stagione,10039,10039,Kraft Food Tray 150ml Stagione Recyclable (Case of 500),live,3,high
CNT-250-KR,Food Tray Stagione,10040,10040,Kraft Food Tray 250ml Stagione Recyclable (Case of 500),live,3,high
CNT-500-KR,Salad Bowl Lid,69002,69002,"Kraft Salad Bowl Lid – Fits 500ml to 1,000ml Containers Recyclable",live,3,high
CNT-500-KR-2,Rectangle Food Tray PE-Lined,D48100,D48100,Kraft Rectangle Food Tray 500 ml – Recyclable  PE-Lined,live,5,high
CNT-500-KR-3,Food Tray Stagione,10035,10035,Kraft Food Tray 500ml Stagione Recyclable (Case of 300),live,3,high
CNT-650-KR,Food Tray PE-Lined,68003,68003,Kraft Food Tray 650 ml – Recyclable  PE-Lined,live,4,high
CNT-650-KR-2,Food Tray Stagione,10038,10038,Kraft Food Tray 650ml Stagione Recyclable  (Case of 300),live,3,high
CNT-750-KR,Food Tray PE-Lined,D48101,D48101,Kraft Food Tray 750 ml – Recyclable  PE-Lined,live,4,high
CNT-750-KR-2,Food Tray Stagione,10036,10036,Kraft Food Tray 750ml Stagione Recyclable (Case of 300),live,3,high
CNT-KR,Lined Lid Stagione,10161,10161,Kraft PP Lined Lid Stagione Recyclable (Case of 300),live,3,high
CNT-TY-KR,Lid for Rectangular Kraft Trays,A48111,A48111,PP Lid for Kraft Paperboard Food Trays – Recyclable,live,4,high
CTL,"Cutlery Kit, 3 in 1",10080.30,10080.30,"Cornstarch Cutlery Kit, 3 in 1 (Case of 250)",live,5,high
CTL-125-NT,Natural Teaspoon / 4.9” Reusable Cutlery,10080.04,10080.04,"Natural Cornstarch Teaspoon – 125mm / 4.9” Reusable  Compostable Cutlery (Case of 1,000)",live,6,high
CTL-2,Ice Cream Spade,XG01009DO-case,XG01009DO-case,Wooden Ice Cream Spade Recyclable/Compostable (Case of 4000),live,3,high
CTL-229,"Chopstick (9"") Wrapped",10330.23P,10330.23P,Bamboo Chopstick (229mm/9) Paper Wrapped Recyclable/Compostable (Case of 1000),live,3,high
CTL-4,"Birchwood Cutlery Kit, 6 in 1",10101.60,10101.60,"Birchwood Cutlery Kit, 6 in 1 Recyclable/Compostable (Case of 250)",live,6,high
CTL-5,"Birchwood Cutlery Kit, 5 in 1",10101.50,10101.50,"Birchwood Cutlery Kit, 5 in 1 Recyclable/Compostable (Case of 250)",live,6,high
CTL-6,"Birchwood Cutlery Kit, 4 in 1",10101.40,10101.40,"Birchwood Cutlery Kit, 4 in 1 Recyclable/Compostable (Case of 250)",live,6,high
CTL-7,"Cutlery Kit, 5 in 1",10080.50,10080.50,"Cornstarch Cutlery Kit, 5 in 1 (Case of 250)",live,5,high
CTL-8,"Cutlery Kit, 4 in 1",10080.40,10080.40,"Cornstarch Cutlery Kit, 4 in 1 (Case of 250)",live,5,high
CTL-9,"Cutlery Kit, 3 in 1",10080.31,10080.31,"Cornstarch Cutlery Kit, 3 in 1 (Case of 250)",live,5,high
CTL-FK-CL,Heavy Duty Reusable Forks,44PLCTCLRHD0FKG001,44PLCTCLRHD0FKG001,"Heavy Duty Clear Reusable Plastic Forks – Case of 1,000",live,4,high
CTL-FK-NT,Natural Fork,10080.02,10080.02,7in Natural Cornstarch Fork (Case of 1000),live,2,high
CTL-KN-CL,Heavy Duty Reusable Knives,44PLCTCLRHD0KNG001,44PLCTCLRHD0KNG001,"Heavy Duty Clear Reusable Plastic Knives – Case of 1,000",live,4,high
CTL-KN-NT,Natural Knife,10080.01,10080.01,7in Natural Cornstarch Knife (Case of 1000),live,2,high
CTL-SP-4,Mini Spoon,VT-SP4,VT-SP4,Compostable 4.25in Mini Wooden Spoon Recyclable/Compostable,live,2,high
CTL-SP-CL,Heavy Duty Reusable Spoons,44PLCTCLRHD0DSG001,44PLCTCLRHD0DSG001,"Heavy Duty Clear Reusable Plastic Spoons – Case of 1,000",live,4,high
CTL-SP-NT,Natural Desert Spoon,10080.03,10080.03,6.6in Natural Cornstarch Desert Spoon (Case of 1000),live,3,high
CUP-12,Lined Compostable Takeaway Cup,10431.12,10431.12,12oz Aqueous Lined Takeaway Cup Compostable (Case of 500),live,4,high
CUP-DW-12-2,Double Wall Takeaway Cup,PW12,PW12,Planetware 12oz Double Wall Takeaway Cup Compostable  Recyclable,live,4,high
CUP-DW-12-3,Double Wall Takeaway Cup,B04013,B04013,Edenware 12oz Double Wall Takeaway Cup Compostable (Case of 500),live,4,high
CUP-DW-12-KR-2,"Double Wall Hot Takeaway Cup, 89 Series",VDW-12,VDW-12,"12oz Double Wall Brown Kraft Hot Takeaway Cup, 89 Series Compostable",live,7,high
CUP-DW-16-2,Double Wall Takeaway Cup,PW16,PW16,Planetware™ 16oz Double Wall Takeaway Cup Recyclable/Compostable,live,4,high
CUP-DW-16-KR,"Double Wall Hot Takeaway Cup, 89 Series",VDW-16,VDW-16,"16oz Double Wall Brown Kraft Hot Takeaway Cup, 89 Series Compostable",live,7,high
CUP-DW-6,Double Wall Takeaway Cup,PW06,PW06,Planetware 6oz Double Wall Takeaway Cup – Recyclable  Compostable,live,4,high
CUP-DW-8-2,Double Wall Takeaway Cup,PW08,PW08,Planetware™ 8oz Double Wall Takeaway Cup Recyclable/Compostable,live,4,high
CUP-DW-8-3,Double Wall Takeaway Cup,B04012,B04012,Edenware 8oz Double Wall Takeaway Cup Compostable (Case of 500),live,4,high
FNC,Large Fish ‘n’ Chips Bag,44PABAWK3631FHG001,44PABAWK3631FHG001,Large Fish ‘n’ Chips Recyclable Paper Bag (Case of 250),live,5,high
