production_sku,current_title,proposed_ppp_sku,proposed_ppp_name,your_pack,your_case,ppp_pack,ppp_case,total,text,price_bonus,margin,tier,alt_ppp_sku,collision
VEG-BAG,Vegware Glassine Bag With NatureFlex Window - 100 x 50 x 250mm,"","",,65.63,"","",4,1,3,1,no-match,"",""
VEG-DEL-HG-12,Vegware PLA Hinged Lid Deli Container - 124 x 142 x 55mm,"","",30.01,79.85,"","",4,-2,6,0,no-match,"",""
VEG-DEL-RD-12,Vegware PLA Round Deli Container - 118 x 54mm,"","",12.11,79.09,"","",4,0,4,0,no-match,"",""
VEG-DEL-FL-32,Vegware PLA 185-Series Flat Lid - 15mm,"","",33.29,65.14,"","",4,0,4,0,no-match,"",""
VEG-DEL-HG-8,Vegware PLA Hinged Lid Deli Container - 105 x 122 x 50mm,"","",26.94,66.06,"","",4,-2,6,0,no-match,"",""
VEG-GP-300-WH,Vegware White Greaseproof Sheet Bakery - 300 x 400mm,"","",,48.2,"","",4,3,1,0,no-match,"",""
VEG-GP-300-WH-2,Vegware White Greaseproof Sheet Grill - 300 x 400mm,"","",,48.2,"","",4,1,3,0,no-match,"",""
VEG-BGT-BW-12-2,Vegware Bagasse Tall Bowl - 152 x 152 x 48mm,"","",6.49,27.72,"","",4,-2,6,1,no-match,"",""
VEG-CTL-FK-4,Vegware Paper Fork - 157 x 31mm,"","",6.97,31.62,"","",4,1,3,0,no-match,"",""
VEG-CTL-KN,Vegware Paper Knife - 157 x 26mm,"","",6.97,31.62,"","",4,1,3,0,no-match,"",""
VEG-CTL-SP-2,Vegware Paper Spoon - 157 x 35 x 7mm,"","",6.97,31.62,"","",4,0,4,0,no-match,"",""
VEG-DEL-BW-32,"Vegware PLA Food Bowl, 185-Series - 80 x 185 x 85mm","","",45.26,92.55,"","",4,-2,6,0,no-match,"",""
VEG-BGP-CS-5,Vegware Bagasse Clamshell - 155 x 228 x 74mm,"","",17.64,31.77,"","",4,1,3,0,no-match,"",""
VEG-BAG-3,Vegware Paper Therma Bag - 297 x 127 x 50mm,"","",,61.2,"","",3,0,3,0,no-match,"",""
VEG-BAG-4,Vegware Paper Therma Bag - 360 x 100 x 51mm,"","",,60.65,"","",3,0,3,0,no-match,"",""
VEG-BAG-5,Vegware Paper Therma Bag - 236 x 164 x 76mm,"","",,74.16,"","",3,0,3,0,no-match,"",""
VEG-BAG-2,Vegware Paper Therma Pouch - 203 x 51 x 230mm,"","",,77.75,"","",3,0,3,0,no-match,"",""
VEG-BGT-PL-3,Vegware Bagasse Plate - 178 x 178 x 17mm,"","",,27.62,"","",3,0,3,0,no-match,"",""
VEG-CUP-DW-8-GN,"Vegware Double Wall Hot Takeaway Cup, 79 Series Green Tree - 8oz",VDW-8-GT,"Vegware 8oz Double Wall Hot Takeaway Cup, 79 Series &#8211; Green Tree Compostable",7.26,49.1,6.66,45.05,22,16,6,1,review,LV-8-GT,""
VEG-BGG-12,Vegware Gourmet Dipping Base - 12oz / 360ml,V3-GBCC,Vegware 12oz / 360ml Gourmet Dipping Base Compostable,11.97,62.56,10.98,57.39,17,11,6,1,review,V3-GB12,""
VEG-SPC-16-2,"Vegware Soup Container, 115 Series - 16oz",SC-G16,"Vegware 16oz Soup Container, 115 Series &#8211; Green Tree Compostable",6.9,51.89,6.33,48.59,16,10,6,0,review,SC-16,DUP
