afida_sku,ppp_sku,name,category,size,material,colour,pack_size,pack_price,certifications,description,website_url,product_weight,product_length,product_width,product_height,case_length,case_width,case_depth,case_volume,case_weight,additional_specs
BAG-12,PWFOIL,12-Inch Foil-Lined Food Bags (7 x 9 x 12 Inches) Recyclable,Bags & Wraps,12 inch,"paper, foil",,450,32.52,Recyclable,"The 12 inch foil Lined Food Bags is made from aluminium foil for excellent heat retention and barrier protection. Foil-lined interior provides excellent heat retention, keeping hot food warm during delivery and collection. The outer paper layer remains cool and comfortable to hold. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/lined-food-bags,Not specified,9 inches,7 inches,12 inches,Not specified,Not specified,Not specified,Not specified,Not specified,
BAG-170-BK,GP0413,Black Gingham 2 Open-Sided Bags 170mm x 160mm Food Safe Recyclable,Bags & Wraps,,,Black,1000,24,Recyclable,"The black Gingham 2 Open-Sided Bags. Two open sides provide easy access for wrapping food quickly at the counter. A fast, efficient option for high-volume service - ideal for sandwiches, crepes, and flat bread items.",https://afida.com/products/gingham-2-open-sided-bags,,,160mm,170mm,,,,,,
BAG-170-BL,GP0412,Blue Gingham 2 Open-Sided Bags 170mm x 160mm Food Safe Recyclable,Bags & Wraps,,,Blue,1000,24,Recyclable,"The blue Gingham 2 Open-Sided Bags. Two open sides provide easy access for wrapping food quickly at the counter. A fast, efficient option for high-volume service - ideal for sandwiches, crepes, and flat bread items.",https://afida.com/products/gingham-2-open-sided-bags-2,N/A,170mm,160mm,N/A,N/A,N/A,N/A,N/A,N/A,
BAG-CR-BL,FBCB.11.17.21.20.BR3,Blue Plastic Carrier Bags 11 x 17 x 21,Bags & Wraps,11 x 17,"pla, plastic",Blue,1000,13.74,Recyclable,"The 11 x 17 x 21 blue plastic Carrier Bags is made from durable plastic for reliable everyday use. Reinforced handles distribute weight evenly for comfortable carrying. Wide gusset base allows containers to sit flat, preventing spills. Strong enough for multiple takeaway boxes and drinks. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/carrier-bags,Not specified,17 inches,11 inches,21 inches,Not specified,Not specified,Not specified,Not specified,Not specified,
BAG-KR-3,CB254,Brown Kraft Wide Bag/Takeaway Bag Recyclable (Case of 250),Bags & Wraps,250mm,"kraft, paper",Brown,250,42.15,Recyclable,"The 250mm brown kraft Wide Bag/Takeaway Bag is constructed from kraft board, an unbleached paper with natural strength. Reinforced handles distribute weight evenly for comfortable carrying. Wide gusset base allows containers to sit flat, preventing spills. Strong enough for multiple takeaway boxes and drinks. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/wide-bag-takeaway-bag,Not specified,260mm,170mm,250mm,250mm,260mm,170mm,Not specified,Not specified,
BAG-205-CL,VGN2-case-,"Clear Natureflex Bag 170 x 205mm Compostable (Case of 1,000)",Bags & Wraps,,"pla, wood, pulp",Clear,1000,79.05,Compostable,"The clear Natureflex Bag. Made with NatureFlex, a transparent cellulose-based film that is compostable. Provides excellent product visibility while keeping contents fresh. Heat-sealable for tamper-evident packaging. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/natureflex-bag,,,,,,,,,,
BAG-210-CL,VGN1-case-,Clear Natureflex Bag 70 x 210mm Compostable (Case of 1000),Bags & Wraps,,"wood, pulp",Clear,1000,44.8,Compostable,"The clear Natureflex Bag. Made with NatureFlex, a transparent cellulose-based film that is compostable. Provides excellent product visibility while keeping contents fresh. Heat-sealable for tamper-evident packaging. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/natureflex-bag-2,,,,,,,,,,
BAG-350-CL-2,VGN3-case-,Clear Natureflex Baguette Bag 100 x 350mm Compostable (Case of 1000),Bags & Wraps,,"pla, wood, pulp",Clear,1000,79.39,Compostable,"The clear Natureflex Baguette Bag. Sized specifically for baguettes, sub rolls, and long bread products. Keeps contents fresh while remaining easy to open for serving or eating on the go. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/natureflex-baguette-bag,,,,,,,,,,
BAG-350-CL,VGN4-case-,Clear Natureflex Baguette Bag With Gusset 100 x 50 x 350mm Compostable (Case of 1000),Bags & Wraps,,"pla, wood, pulp",Clear,1000,104.55,Compostable,"The clear Natureflex Baguette Bag With Gusset. Sized specifically for baguettes, sub rolls, and long bread products. Keeps contents fresh while remaining easy to open for serving or eating on the go. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/natureflex-baguette-bag-with-gusset,,,,,,,,,,
BAG-180-CL,VGN5-case-,Clear Natureflex Multi Bag 220 x 180mm Compostable (Case of 1000),Bags & Wraps,,"pla, wood, pulp",Clear,1000,79.99,Compostable,"The clear Natureflex Multi Bag. Made with NatureFlex, a transparent cellulose-based film that is compostable. Provides excellent product visibility while keeping contents fresh. Heat-sealable for tamper-evident packaging. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/natureflex-multi-bag,,,,,,,,,,
BAG-240-CL,VGN6-case-,Clear Natureflex Multi Bag with Gusset 150 x 50 x 240mm Compostable (Case of 1000),Bags & Wraps,,"pla, wood, pulp",Clear,1000,98.43,Compostable,"The clear Natureflex Multi Bag with Gusset. Made with NatureFlex, a transparent cellulose-based film that is compostable. Provides excellent product visibility while keeping contents fresh. Heat-sealable for tamper-evident packaging. Certified compostable - breaks down in industrial composting facilities. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/natureflex-multi-bag-with-gusset,,,,,,,,,,
BAG-170-2,10373,Contact Grill Bag 170mm (Case of 600),Bags & Wraps,40mm,paper,,600,64.52,"Compostable, Recyclable","The 40mm Contact Grill Bag. A heat-resistant bag designed for use in contact grills, panini presses, and toasters. Keeps the grill plates clean while producing evenly toasted results. Prevents cheese and fillings from sticking to hot surfaces. Both compostable and recyclable, giving multiple end-of-life options.",https://afida.com/products/contact-grill-bag,Not specified,170mm,160mm,Not specified,170mm,160mm,40mm,Not specified,Not specified,
BAG-195,10370,Contact Grill Bag 195mm (Case of 500),Bags & Wraps,40mm,paper,,500,56.4,"Compostable, Recyclable","The 40mm Contact Grill Bag. A heat-resistant bag designed for use in contact grills, panini presses, and toasters. Keeps the grill plates clean while producing evenly toasted results. Prevents cheese and fillings from sticking to hot surfaces. Both compostable and recyclable, giving multiple end-of-life options.",https://afida.com/products/contact-grill-bag-2,Not specified,195mm,170mm,Not specified,195mm,170mm,40mm,Not specified,Not specified,
BAG-RC-200,10372,Contact Grill Bag 200mm Rectangular (Case of 1000),Bags & Wraps,40mm,paper,,1000,99.3,"Compostable, Recyclable","The 40mm Contact Grill Bag Rectangular. A heat-resistant bag designed for use in contact grills, panini presses, and toasters. Keeps the grill plates clean while producing evenly toasted results. Prevents cheese and fillings from sticking to hot surfaces. Both compostable and recyclable, giving multiple end-of-life options.",https://afida.com/products/contact-grill-bag-rectangular,N/A,200mm,105mm,40mm,200mm,105mm,40mm,800000mm³,Case of 1000,
BAG-260,10371,Contact Grill Bag 260mm (Case of 500),Bags & Wraps,40mm,paper,,500,61.65,"Compostable, Recyclable","The 40mm Contact Grill Bag. A heat-resistant bag designed for use in contact grills, panini presses, and toasters. Keeps the grill plates clean while producing evenly toasted results. Prevents cheese and fillings from sticking to hot surfaces. Both compostable and recyclable, giving multiple end-of-life options.",https://afida.com/products/contact-grill-bag-3,N/A,260mm,170mm,N/A,260mm,170mm,40mm,N/A,N/A,
BAG-320,10369,Contact Grill Bag 320mm Compostable (Case of 600),Bags & Wraps,40mm,paper,,600,72.47,"Compostable, Recyclable","The 40mm Contact Grill Bag. A heat-resistant bag designed for use in contact grills, panini presses, and toasters. Keeps the grill plates clean while producing evenly toasted results. Prevents cheese and fillings from sticking to hot surfaces. Both compostable and recyclable, giving multiple end-of-life options.",https://afida.com/products/contact-grill-bag-4,,320mm,105mm,,320mm,105mm,40mm,,,
BAG-CR-2,PCB300,Frosted Plastic Carrier Bag/Takeaway Bag Recyclable (Case of 300),Bags & Wraps,270mm,PLA,,300,29.15,Recyclable,"The 270mm frosted plastic Carrier Bag/Takeaway Bag is made from durable plastic for reliable everyday use. Reinforced handles distribute weight evenly for comfortable carrying. Wide gusset base allows containers to sit flat, preventing spills. Strong enough for multiple takeaway boxes and drinks. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/carrier-bag-takeaway-bag,,300mm,180mm,270mm,300mm,180mm,270mm,,,
BAG-170-KR,GP0420,Kraft 2 Open-Sided Bags 170mm x 160mm Food Safe Recyclable,Bags & Wraps,,kraft,Brown/Kraft,1000,24,Recyclable,"The kraft 2 Open-Sided Bags is constructed from kraft board, an unbleached paper with natural strength. Two open sides provide easy access for wrapping food quickly at the counter. A fast, efficient option for high-volume service - ideal for sandwiches, crepes, and flat bread items.",https://afida.com/products/2-open-sided-bags,Unknown,170mm,160mm,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
BAG-GR-KR,GRABBAG,Large Kraft Brown SOS Paper Grab Bag – Recyclable,Bags & Wraps,40cm,"kraft, paper",Brown,250,23.2,Recyclable,"The 40cm brown kraft Large SOS Grab Bag is constructed from kraft board, an unbleached paper with natural strength. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/large-sos-grab-bag,Not specified,26 cm,14 cm,Not specified,40 cm,14 cm,Not specified,Not specified,Not specified,
BAG-CR-3,LBAG,Large Recycled Paper Carrier 10in width Recyclable/Compostable (Case of 250),Bags & Wraps,Large,"kraft, paper, pla",,250,17.1,Compostable,The paper Large Carrier Width is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Certified compostable - breaks down in industrial composting facilities.,https://afida.com/products/large-carrier-width,,,10 in,,,,,,9 kg,
BAG-CR-4,MBAG,Medium Recycled Paper Carrier 8.5in width Recyclable/Compostable (Case of 250),Bags & Wraps,Medium,"kraft, paper, pla",,250,14.6,Compostable,The paper Medium Carrier Width is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Certified compostable - breaks down in industrial composting facilities.,https://afida.com/products/medium-carrier-width,,,8.5 in,,,,,,7 kg,
BAG-170,GP0416,Newspaper 2 Open-Sided Bags 170mm x 160mm Food Safe Recyclable,Bags & Wraps,,paper,,1000,24,Recyclable,"The Newspaper 2 Open-Sided Bags. Two open sides provide easy access for wrapping food quickly at the counter. A fast, efficient option for high-volume service - ideal for sandwiches, crepes, and flat bread items.",https://afida.com/products/newspaper-2-open-sided-bags,not specified,170mm,160mm,not specified,not specified,not specified,not specified,not specified,not specified,
BAG-170-RD,GP0410,Red Gingham 2 Open-Sided Bags 170mm x 160mm Food Safe Recyclable,Bags & Wraps,,,Red,1000,24,Recyclable,"The red Gingham 2 Open-Sided Bags. Two open sides provide easy access for wrapping food quickly at the counter. A fast, efficient option for high-volume service - ideal for sandwiches, crepes, and flat bread items.",https://afida.com/products/gingham-2-open-sided-bags-3,,170mm,160mm,,,,,,Case of 1000,
BAG-CR-5,SBAG,Small Recycled Paper Carrier 7in width Recyclable/Compostable (Case of 250),Bags & Wraps,Small,"kraft, paper, pla",,250,13.99,Compostable,The paper Small Carrier Width is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Certified compostable - breaks down in industrial composting facilities.,https://afida.com/products/small-carrier-width,,,7 in,,,,,,6 kg,
BAG-CR-WH-2,FWCB.11.17.21.21.WP8,White Carrier Bags 11 x 17 x 21,Bags & Wraps,11 x 17,paper,White,1000,16.22,,"The 11 x 17 x 21 white Carrier Bags. Reinforced handles distribute weight evenly for comfortable carrying. Wide gusset base allows containers to sit flat, preventing spills. Strong enough for multiple takeaway boxes and drinks. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/carrier-bags-2,Not specified,17 inches,11 inches,21 inches,21 inches,11 inches,17 inches,Not specified,Not specified,
BAG-CR-WH,FWCB.11.17.21.21.WP12,White Plastic Carrier Bags 12 x 19 x 23 – 25 Micron Strong,Bags & Wraps,,"pla, plastic",White,1000,21.54,,"The white plastic Carrier Bags 23 25 Micron Strong is made from durable plastic for reliable everyday use. Reinforced handles distribute weight evenly for comfortable carrying. Wide gusset base allows containers to sit flat, preventing spills. Strong enough for multiple takeaway boxes and drinks. Ideal for takeaways, bakeries, delis, and food-to-go outlets.",https://afida.com/products/carrier-bags-23-25-micron-strong,Not specified,19 inches,12 inches,23 inches,23 inches,12 inches,19 inches,Not specified,Not specified,
BAG-CR,XLBAG,X Large Recycled Paper Carrier 13in width Recyclable/Compostable (Case of 200),Bags & Wraps,13 Inch,"kraft, paper, pla",,200,27.2,Compostable,The 13 Inch paper Large Carrier Width is made from responsibly sourced paper. A practical food service product designed for everyday commercial use. Reliable performance in high-volume environments. Certified compostable - breaks down in industrial composting facilities.,https://afida.com/products/large-carrier-width-2,unknown,8.5 inches,13 inches,13 inches,13 inches,13 inches,8.5 inches,unknown,13 kg,
LRKTB,,Large Kraft Flat Handle Bags,Bags & Wraps,Large,Kraft Paper,Brown/Kraft,250,17.1,Recyclable,"These large kraft bags handle big orders confidently. The flat twisted handles sit comfortably in hands even with heavier loads. Sturdy kraft paper construction holds large takeaway meals, retail purchases, and gift items without tearing. The natural brown finish signals eco-friendly values and works well with stamps, stickers, or branded labels. Large size accommodates family meal orders, multiple items, and bigger retail purchases. Recyclable and made from sustainable materials. Ideal for restaurants serving group orders, retail shops, and bakeries with larger item sales. Pack of 250 bags.",https://afida.com/products/flat-handle-bags-large-kraft,,,,,,,,,,
MKTB,,Medium Kraft Flat Handle Bags,Bags & Wraps,Medium,Kraft Paper,Brown/Kraft,250,14.6,Recyclable,"These medium kraft bags suit standard takeaway orders perfectly. The flat twisted handles provide comfortable carrying while sturdy kraft paper construction holds typical meals without tearing. The natural brown finish signals eco-friendly values and works well with stamps, stickers, or branded labels. Medium size accommodates most individual takeaway orders, lunch portions, and standard retail items. Recyclable and made from sustainable materials. Ideal for cafes, delis, restaurants, bakeries, and retail shops. The most versatile size for everyday operations. Pack of 250 bags.",https://afida.com/products/flat-handle-bags-medium-kraft,,,,,,,,,,
